SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
,RSCC,,,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10713 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,,,10730 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,16410.0,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,16410.0,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,16410.0,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,16410.0,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,16410.0,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
,RSCC,,,DVB-S2,16410.0,2/3,10749 V,tp E2,45-47,,https://www.lyngsat.com/providers/ru/RSCC.html,,,True,RSCC,
