SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
1.0,Türksat promo,65281-1MPEG-2/SD,1001.0,DVB-S,2220,3/4,10992 V,,,,,,,False,,
50450.0,Türksat promo,MPEG-4/HD,5450.0,DVB-S2,30000,2/3,11515 H,,51.0,,,,,False,,Tur
,(feeds),,,DVB-S2,2500,5/6,11030 H,,,,,,,False,,
,(feeds),,,DVB-S2,2500,5/6,11037 H,,,,,,,False,,
,(feeds),,,DVB-S2,2500,5/6,11041 H,,,,,,,False,,
,(feeds),,,DVB-S2,2490,5/6,11041 V,,,,,,,False,,
,(feeds),,,DVB-S2,2500,5/6,11046 H,,,,,,,False,,
,(feeds),,,DVB-S2,10000,3/4,11048 V,,,,,,,False,,
,(feeds),,,DVB-S2,7500,5/6,11066 H,,,,,,,False,,
,(feeds),,,DVB-S2,10000,3/4,11067 V,,,,,,,False,,
,(feeds),,,DVB-S2,2500,5/6,11072 H,,,,,,,False,,
,,,,DVB-S2,2500,5/6,11503 V,,,,,,,False,,
,,,,DVB-S2,2500,5/6,11508 V,,,,,,,False,,
,,,,DVB-S2,2500,5/6,11514 V,,,,,,,False,,
,,,,DVB-S2,30000,2/3,11525 V,,,,,,,False,,
,,,,DVB-S2,30000,2/3,11572 V,,,,,,,False,,
,,,,DVB-S2,30000,2/3,11600 V,,,,,,,False,,
,,,,DVB-S2,30000,2/3,11603 V,,,,,,,False,,
,,,,DVB-S2,30000,2/3,11618 H,,,,,,,False,,
,Türksat,,,DVB-S2,30000,2/3,11515 H,,51.0,,https://www.lyngsat.com/providers/tr/Turksat.html,,,True,Türksat,
50451.0,TRT Arabi,MPEG-4/HD,5451.0,DVB-S2,30000,2/3,11515 H,,51.0,,,TRT Arabi,https://www.lyngsat.com/tvchannels/tr/TRT-Arabi.html,False,Türksat,Ara
50451.0,TRT Arabi,MPEG-4/HD,5451.0,DVB-S2,30000,2/3,11515 H,,51.0,,,TRT Arabi,https://www.lyngsat.com/tvchannels/tr/TRT-Arabi.html,False,Türksat,Ara
50452.0,TRT World,MPEG-4/HD,5452.0,DVB-S2,30000,2/3,11515 H,,51.0,,,TRT World,https://www.lyngsat.com/tvchannels/tr/TRT-World.html,False,Türksat,Eng
50452.0,TRT World,MPEG-4/HD,5452.0,DVB-S2,30000,2/3,11515 H,,51.0,,,TRT World,https://www.lyngsat.com/tvchannels/tr/TRT-World.html,False,Türksat,Eng
50453.0,Alkarma TV Middle East,MPEG-4/SD,5453.0,DVB-S2,30000,2/3,11515 H,,51.0,,,Alkarma TV Middle East,https://www.lyngsat.com/tvchannels/us/Alkarma-TV-Middle-East.html,False,Türksat,Ara
50453.0,Alkarma TV Middle East,MPEG-4/SD,5453.0,DVB-S2,30000,2/3,11515 H,,51.0,,,Alkarma TV Middle East,https://www.lyngsat.com/tvchannels/us/Alkarma-TV-Middle-East.html,False,Türksat,Ara
