SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
,MFM Radio,,,DVB-S2,789.0,3/4,10955 H,,0.0,,https://www.lyngsat.com/providers/ma/MFM-Radio.html,,,True,MFM Radio,
1000.0,MFM Radio Casablanca,,,DVB-S2,789.0,3/4,10955 H,,0.0,,,MFM Radio Casablanca,https://www.lyngsat.com/radiochannels/ma/MFM-Radio-Casablanca.html,False,MFM Radio,Ara
2000.0,MFM Radio Agadir,,,DVB-S2,789.0,3/4,10955 H,,0.0,,,MFM Radio Agadir,https://www.lyngsat.com/radiochannels/ma/MFM-Radio-Agadir.html,False,MFM Radio,Ara
3000.0,MFM Radio Marrakech,,,DVB-S2,789.0,3/4,10955 H,,0.0,,,MFM Radio Marrakech,https://www.lyngsat.com/radiochannels/ma/MFM-Radio-Marrakech.html,False,MFM Radio,Ara
4000.0,MFM Radio Fes,,,DVB-S2,789.0,3/4,10955 H,,0.0,,,MFM Radio Fes,https://www.lyngsat.com/radiochannels/ma/MFM-Radio-Fes.html,False,MFM Radio,Ara
,(feeds),,,DVB-S2,3300.0,3/4,10960 H,,,,,,,False,MFM Radio,
,(feeds),,,DVB-S,4435.0,2/3,11022 H,,,,,,,False,MFM Radio,
,RCS,702-7814,,DVB-S2,27500.0,2/3,10970 V,,0.0,,https://www.lyngsat.com/providers/gh/RCS.html,,,True,RCS,
,RCS,702-7814,,DVB-S2,27500.0,2/3,10970 V,,0.0,,https://www.lyngsat.com/providers/gh/RCS.html,,,True,RCS,
,RCS,702-7815,,DVB-S2,27500.0,2/3,11010 V,,0.0,,https://www.lyngsat.com/providers/gh/RCS.html,,,True,RCS,
,RCS,702-7815,,DVB-S2,27500.0,2/3,11010 V,,0.0,,https://www.lyngsat.com/providers/gh/RCS.html,,,True,RCS,
7101.0,Gaskia TV,MPEG-4/HD,1101.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Gaskia TV,https://www.lyngsat.com/tvchannels/gh/Gaskia-TV.html,False,RCS,Hau
7102.0,Gaskia Plus TV,MPEG-4/HD,1102.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Gaskia Plus TV,https://www.lyngsat.com/tvchannels/gh/Gaskia-Plus-TV.html,False,RCS,Hau
7103.0,Haske TV,MPEG-4/SD,1103.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Haske TV,https://www.lyngsat.com/tvchannels/ng/Haske-TV.html,False,RCS,Eng
7103.0,Haske TV,MPEG-4/SD,1103.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Haske TV,https://www.lyngsat.com/tvchannels/ng/Haske-TV.html,False,RCS,Eng
8114.0,Haske TV,MPEG-4/SD,51.0,DVB-S2,27500.0,2/3,11010 V,,0.0,,,Haske TV,https://www.lyngsat.com/tvchannels/ng/Haske-TV.html,False,RCS,Eng
8114.0,Haske TV,MPEG-4/SD,51.0,DVB-S2,27500.0,2/3,11010 V,,0.0,,,Haske TV,https://www.lyngsat.com/tvchannels/ng/Haske-TV.html,False,RCS,Eng
7109.0,Saha TV,MPEG-4/HD,1109.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Saha TV,https://www.lyngsat.com/tvchannels/--/Saha-TV.html,False,RCS,Ara
7113.0,Pan African TV,MPEG-4/HD,1113.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Pan African TV,https://www.lyngsat.com/tvchannels/gh/Pan-African-TV.html,False,RCS,Eng
7115.0,MTA Ghana,MPEG-4/HD,1115.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,MTA Ghana,https://www.lyngsat.com/tvchannels/uk/MTA-Ghana.html,False,RCS,Eng
7116.0,Khalifa TV,MPEG-4/SD,1116.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Khalifa TV,https://www.lyngsat.com/tvchannels/--/Khalifa-TV.html,False,RCS,
7117.0,NTA Knowledge,MPEG-4/SD,1117.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,NTA Knowledge,https://www.lyngsat.com/tvchannels/ng/NTA-Knowledge.html,False,RCS,Eng
7119.0,NTA Igbo,MPEG-4/SD,1119.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,NTA Igbo,https://www.lyngsat.com/tvchannels/ng/NTA-Igbo.html,False,RCS,
7121.0,NTA 2,MPEG-4/SD,1121.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,NTA 2,https://www.lyngsat.com/tvchannels/ng/NTA-2.html,False,RCS,Eng
7122.0,Rahma TV (Ghana),MPEG-4/HD,1122.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Rahma TV (Ghana),https://www.lyngsat.com/tvchannels/gh/Rahma-TV.html,False,RCS,Eng
7124.0,Sunna TV (Saudi Arabia),MPEG-4/HD,1124.0,DVB-S2,27500.0,2/3,10970 V,,0.0,,,Sunna TV (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/Sunna-TV.html,False,RCS,Ara
