SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
7867,NRK P1 Stor-Oslo,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Stor-Oslo,https://www.lyngsat.com/radiochannels/no/NRK-P1-Stor-Oslo.html,,,False,,Nor
7867,NRK P1 Stor-Oslo,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Stor-Oslo,https://www.lyngsat.com/radiochannels/no/NRK-P1-Stor-Oslo.html,,,False,,Nor
7868,NRK P1 Troms,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Troms,https://www.lyngsat.com/radiochannels/no/NRK-P1-Troms.html,,,False,,Nor
7868,NRK P1 Troms,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Troms,https://www.lyngsat.com/radiochannels/no/NRK-P1-Troms.html,,,False,,Nor
7869,NRK P1 Finnmark,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Finnmark,https://www.lyngsat.com/radiochannels/no/NRK-P1-Finnmark.html,,,False,,Nor
7869,NRK P1 Finnmark,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Finnmark,https://www.lyngsat.com/radiochannels/no/NRK-P1-Finnmark.html,,,False,,Nor
7870,NRK P1 Nordland,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Nordland,https://www.lyngsat.com/radiochannels/no/NRK-P1-Nordland.html,,,False,,Nor
7870,NRK P1 Nordland,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Nordland,https://www.lyngsat.com/radiochannels/no/NRK-P1-Nordland.html,,,False,,Nor
7871,NRK P1 Trøndelag,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Trøndelag,https://www.lyngsat.com/radiochannels/no/NRK-P1-Trondelag.html,,,False,,Nor
7871,NRK P1 Trøndelag,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Trøndelag,https://www.lyngsat.com/radiochannels/no/NRK-P1-Trondelag.html,,,False,,Nor
7872,NRK P1 Møre og Romsdal,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Møre og Romsdal,https://www.lyngsat.com/radiochannels/no/NRK-P1-More-og-Romsdal.html,,,False,,Nor
7872,NRK P1 Møre og Romsdal,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Møre og Romsdal,https://www.lyngsat.com/radiochannels/no/NRK-P1-More-og-Romsdal.html,,,False,,Nor
7873,NRK P1 Sogn og Fjordane,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Sogn og Fjordane,https://www.lyngsat.com/radiochannels/no/NRK-P1-Sogn-og-Fjordane.html,,,False,,Nor
7873,NRK P1 Sogn og Fjordane,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Sogn og Fjordane,https://www.lyngsat.com/radiochannels/no/NRK-P1-Sogn-og-Fjordane.html,,,False,,Nor
7874,NRK P1 Hordaland,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Hordaland,https://www.lyngsat.com/radiochannels/no/NRK-P1-Hordaland.html,,,False,,Nor
7874,NRK P1 Hordaland,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Hordaland,https://www.lyngsat.com/radiochannels/no/NRK-P1-Hordaland.html,,,False,,Nor
7875,NRK P1 Rogaland,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Rogaland,https://www.lyngsat.com/radiochannels/no/NRK-P1-Rogaland.html,,,False,,Nor
7875,NRK P1 Rogaland,,,DVB-S2,25000,3/4,10747 V,tp A3,0,,,NRK P1 Rogaland,https://www.lyngsat.com/radiochannels/no/NRK-P1-Rogaland.html,,,False,,Nor
