SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
,,,,,,,3641 L,tp 52,0.0,,,,,,,False,,
,,,,,,,3675 R,tp 53,0.0,,,,,,,False,,
,,,,,,,3679 R,tp 53,0.0,,,,,,,False,,
,,3-1,,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,,,,,False,,
,,,,DVB-S2,3750.0,3/4,3763 R,tp 57,0.0,,,,,,,False,,
,,100-100,,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto,VisionCrypt",,,,,,False,,
,,513-513,,DVB-S2,6666.0,2/3,3830 R,tp 61,0.0,,,,,,,False,,
,,1-101,,DVB-S2,15000.0,5/6,3834 L,tp 62,0.0,PowerVu,,,,,,False,,
,,3-101,,DVB-S,6670.0,3/4,3847 L,tp 62,0.0,PowerVu,,,,,,False,,
,,1-0,,DVB-S2,5714.0,3/4,3858 R,tp 61,0.0,,,,,,,False,,
,,,,DVB-S2,7200.0,3/4,3874 R,tp 63,0.0,,,,,,,False,,
,,,,DVB-S2,7200.0,3/4,3878 L,tp 64,0.0,,,,,,,False,,
,,,,DVB-S2,7200.0,3/4,3884 R,tp 63,0.0,,,,,,,False,,
,,,,DVB-S2,7200.0,3/4,3887 L,tp 64,0.0,,,,,,,False,,
,,,,DVB-S2,21600.0,3/4,4004 L,tp 70,0.0,,,,,,,False,,
,,,,DVB-S,2570.0,7/8,4043 R,tp 71,0.0,,,,,,,False,,
,,8362-3031,,DVB-S2,4285.0,3/4,4061 L,tp 72,0.0,,,,,,,False,,
,,33-1,,DVB-S2,30000.0,5/6,4135 L,tp 76,0.0,PowerVu,,,,,,False,,
,,,,DVB-S2,30000.0,5/6,4151 R,tp 75,0.0,,,,,,,False,,
,,1-1,,DVB-S2,7332.0,2/3,4191 L,tp 78,0.0,"PowerVu,Viaccess",,,,,,False,,
1,Canal Antigua,MPEG-4/SD,34.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Canal Antigua,https://www.lyngsat.com/tvchannels/gt/Canal-Antigua.html,,,False,,Spa
2,Conectados con Dios TV,MPEG-4/SD,36.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Conectados con Dios TV,https://www.lyngsat.com/tvchannels/gt/Conectados-con-Dios-TV.html,,,False,,Spa
2,Conectados con Dios TV,MPEG-4/SD,36.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Conectados con Dios TV,https://www.lyngsat.com/tvchannels/gt/Conectados-con-Dios-TV.html,,,False,,Spa
6,Gallero Soy,MPEG-4/SD,41.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Gallero Soy,https://www.lyngsat.com/tvchannels/do/Gallero-Soy.html,,,False,,Spa
9,LTV,MPEG-4/SD,769.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,LTV,https://www.lyngsat.com/tvchannels/hn/LTV.html,,,False,,Spa
9,LTV,MPEG-4/SD,769.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,LTV,https://www.lyngsat.com/tvchannels/hn/LTV.html,,,False,,Spa
10,TV Canal Sur,MPEG-4/SD,43.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,TV Canal Sur,https://www.lyngsat.com/tvchannels/do/TV-Canal-Sur.html,,,False,,Spa
10,TV Canal Sur,MPEG-4/SD,43.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,TV Canal Sur,https://www.lyngsat.com/tvchannels/do/TV-Canal-Sur.html,,,False,,Spa
11,Megavisión,MPEG-4/SD,48.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Megavisión,https://www.lyngsat.com/tvchannels/do/Megavision.html,,,False,,Spa
12,Teleunion,MPEG-4/SD,4128.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Teleunion,https://www.lyngsat.com/tvchannels/do/Teleunion.html,,,False,,Spa
14,TNH Canal 8,MPEG-4/SD,51.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,TNH Canal 8,https://www.lyngsat.com/tvchannels/hn/TNH-Canal-8.html,,,False,,Spa
14,TNH Canal 8,MPEG-4/SD,51.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,TNH Canal 8,https://www.lyngsat.com/tvchannels/hn/TNH-Canal-8.html,,,False,,Spa
15,Congreso TV (Honduras),MPEG-4/SD,54.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Congreso TV (Honduras),https://www.lyngsat.com/tvchannels/hn/Congreso-TV.html,,,False,,Spa
16,Une TV,MPEG-4/HD,62.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Une TV,https://www.lyngsat.com/tvchannels/hn/Une-TV.html,,,False,,Spa
16,Une TV,MPEG-4/HD,62.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Une TV,https://www.lyngsat.com/tvchannels/hn/Une-TV.html,,,False,,Spa
3011,Canal 6 (Honduras),HEVC,47.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Canal 6 (Honduras),https://www.lyngsat.com/tvchannels/hn/Canal-6.html,,,False,,Spa
3011,Canal 6 (Honduras),HEVC,47.0,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Canal 6 (Honduras),https://www.lyngsat.com/tvchannels/hn/Canal-6.html,,,False,,Spa
7,Radio Nacional de Honduras,,,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Radio Nacional de Honduras,https://www.lyngsat.com/radiochannels/hn/Radio-Nacional-de-Honduras.html,,,False,,Spa
7,Radio Nacional de Honduras,,,DVB-S2,8330.0,3/4,3710 L,tp 56,0.0,,,Radio Nacional de Honduras,https://www.lyngsat.com/radiochannels/hn/Radio-Nacional-de-Honduras.html,,,False,,Spa
,(feeds),,,DVB-S2,3750.0,3/4,3725 L,tp 56,,,,,,,,False,,
,(feeds),,,DVB-S2,7200.0,3/4,3870 R,tp 63,,,,,,,,False,,
,(feeds),,,DVB-S2,3680.0,3/4,3905 L,tp 66,,,,,,,,False,,
903,(feeds),,904.0,DVB-S2,9600.0,2/3,3935 L,tp 66,0.0,Irdeto,,,,,,False,,
,(feeds),,,DVB-S,4700.0,2/3,3938 R,tp 65,,,,,,,,False,,
,(feeds),,,DVB-S2,14400.0,3/4,11340 H,tp AEH70,,,,,,,,False,,
,(ESPN feeds),,,DVB-S2,30000.0,5/6,3763 L,tp 58,,,,,,,,False,,
1,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),MPEG-2/SD,2001.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),https://www.lyngsat.com/tvchannels/hu/Duna-World.html,,,False,,Hun
1,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),MPEG-2/SD,2001.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),https://www.lyngsat.com/tvchannels/hu/Duna-World.html,,,False,,Hun
1,M4 Sport + (Sat-Sun 14-22),MPEG-2/SD,2001.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,M4 Sport + (Sat-Sun 14-22),https://www.lyngsat.com/tvchannels/hu/M4-Sport--.html,,,False,,Hun
3,TV Agro,MPEG-4/SD,101.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto",,TV Agro,https://www.lyngsat.com/tvchannels/co/TV-Agro.html,,,False,,Spa
4,Primetime (USA),MPEG-4/SD,253.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,VisionCrypt,,Primetime (USA),https://www.lyngsat.com/tvchannels/us/Primetime.html,,,False,,Spa
5,Hogar TV (Colombia),MPEG-4/SD,201.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto",,Hogar TV (Colombia),https://www.lyngsat.com/tvchannels/co/Hogar-TV.html,,,False,,Spa
6,Rumba TV,MPEG-4/SD,301.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto",,Rumba TV,https://www.lyngsat.com/tvchannels/co/Rumba-TV.html,,,False,,Spa
7,Tele Nostalgia,MPEG-4/SD,501.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,"Cryptoguard 1,Irdeto",,Tele Nostalgia,https://www.lyngsat.com/tvchannels/co/Tele-Nostalgia.html,,,False,,Spa
8,Mórbido TV,MPEG-4/HD,500.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,Mórbido TV,https://www.lyngsat.com/tvchannels/mx/Morbido-TV.html,,,False,,Spa
9,Aliento Vision,MPEG-4/SD,481.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,Aliento Vision,https://www.lyngsat.com/tvchannels/us/Aliento-Vision.html,,,False,,Spa
9,Aliento Vision,MPEG-4/SD,481.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,Aliento Vision,https://www.lyngsat.com/tvchannels/us/Aliento-Vision.html,,,False,,Spa
1613,ZooMoo Kids,MPEG-4/HD,3538.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,ZooMoo Kids,https://www.lyngsat.com/tvchannels/nz/ZooMoo-Kids.html,,,False,,Por
1613,ZooMoo Kids,MPEG-4/HD,3538.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,ZooMoo Kids,https://www.lyngsat.com/tvchannels/nz/ZooMoo-Kids.html,,,False,,Por
1614,ZooMoo Kids,MPEG-2/SD,3839.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,ZooMoo Kids,https://www.lyngsat.com/tvchannels/nz/ZooMoo-Kids.html,,,False,,Por
1614,ZooMoo Kids,MPEG-2/SD,3839.0,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,ZooMoo Kids,https://www.lyngsat.com/tvchannels/nz/ZooMoo-Kids.html,,,False,,Por
2,Duna World Rádió,,,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,Duna World Rádió,https://www.lyngsat.com/radiochannels/hu/Duna-World-Radio.html,,,False,,Hun
2,Duna World Rádió,,,DVB-S2,30000.0,5/6,3803 L,tp 60,0.0,,,Duna World Rádió,https://www.lyngsat.com/radiochannels/hu/Duna-World-Radio.html,,,False,,Hun
1,Rede Gênesis,MPEG-4/HD,530.0,DVB-S2,6666.0,2/3,3830 R,tp 61,0.0,,,Rede Gênesis,https://www.lyngsat.com/tvchannels/br/Rede-Genesis.html,,,False,,Por Por
1,Rede Gênesis,MPEG-4/HD,530.0,DVB-S2,6666.0,2/3,3830 R,tp 61,0.0,,,Rede Gênesis,https://www.lyngsat.com/tvchannels/br/Rede-Genesis.html,,,False,,Por Por
4,Rede Gênesis,MPEG-2/1seg,337.0,DVB-S2,6666.0,2/3,3830 R,tp 61,0.0,,,Rede Gênesis,https://www.lyngsat.com/tvchannels/br/Rede-Genesis.html,,,False,,Por
4,Rede Gênesis,MPEG-2/1seg,337.0,DVB-S2,6666.0,2/3,3830 R,tp 61,0.0,,,Rede Gênesis,https://www.lyngsat.com/tvchannels/br/Rede-Genesis.html,,,False,,Por
3,Sara Brasil FM,,,DVB-S2,6666.0,2/3,3830 R,tp 61,0.0,,,Sara Brasil FM,https://www.lyngsat.com/radiochannels/br/Sara-Brasil-FM.html,,,False,,Por
3,Sara Brasil FM,,,DVB-S2,6666.0,2/3,3830 R,tp 61,0.0,,,Sara Brasil FM,https://www.lyngsat.com/radiochannels/br/Sara-Brasil-FM.html,,,False,,Por
111,LN+,MPEG-4/HD,1110.0,DVB-S2,15000.0,5/6,3834 L,tp 62,0.0,PowerVu,,LN+,https://www.lyngsat.com/tvchannels/ar/LN-.html,,,False,,Spa
111,LN+,MPEG-4/HD,1110.0,DVB-S2,15000.0,5/6,3834 L,tp 62,0.0,PowerVu,,LN+,https://www.lyngsat.com/tvchannels/ar/LN-.html,,,False,,Spa
112,Plim Plim,MPEG-4/HD,1620.0,DVB-S2,15000.0,5/6,3834 L,tp 62,0.0,,,Plim Plim,https://www.lyngsat.com/tvchannels/ar/Plim-Plim.html,,,False,,Spa
113,Unife,MPEG-4/HD,1130.0,DVB-S2,15000.0,5/6,3834 L,tp 62,0.0,PowerVu,,Unife,https://www.lyngsat.com/tvchannels/ar/Unife.html,,,False,,Spa
