SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
,GCI,,,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,https://www.lyngsat.com/providers/us/GCI.html,,,True,GCI,
,GCI,,,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,https://www.lyngsat.com/providers/us/GCI.html,,,True,GCI,
,GCI,,,DVB-S2,30000,5/6,3900 V,tp 10,0,PowerVu,https://www.lyngsat.com/providers/us/GCI.html,,,True,GCI,
,GCI,,,DVB-S2,30000,5/6,3900 V,tp 10,0,PowerVu,https://www.lyngsat.com/providers/us/GCI.html,,,True,GCI,
1.0,KTUU-TV (NBC - Anchorage),MPEG-4/SD,401.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,KTUU-TV (NBC - Anchorage),https://www.lyngsat.com/tvchannels/us/KTUU-TV.html,False,GCI,Eng
1.0,KTUU-TV (NBC - Anchorage),MPEG-4/SD,401.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,KTUU-TV (NBC - Anchorage),https://www.lyngsat.com/tvchannels/us/KTUU-TV.html,False,GCI,Eng
2.0,KTBY-TV (Fox - Anchorage),MPEG-4/SD,201.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,KTBY-TV (Fox - Anchorage),https://www.lyngsat.com/tvchannels/us/KTBY-TV.html,False,GCI,Eng
3.0,KAUU-DT 4 (My - Anchorage),MPEG-4/SD,301.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,KAUU-DT 4 (My - Anchorage),https://www.lyngsat.com/tvchannels/us/KAUU-DT-4.html,False,GCI,Eng
5.0,KAUU-TV (CBS - Anchorage),MPEG-4/SD,101.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,KAUU-TV (CBS - Anchorage),https://www.lyngsat.com/tvchannels/us/KAUU-TV.html,False,GCI,Eng
6.0,KYUR-TV (ABC - Anchorage),MPEG-4/SD,501.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,KYUR-TV (ABC - Anchorage),https://www.lyngsat.com/tvchannels/us/KYUR-TV.html,False,GCI,Eng
7.0,This TV,MPEG-4/SD,701.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,This TV,https://www.lyngsat.com/tvchannels/us/This-TV.html,False,GCI,Eng
8.0,KTOO 360 TV,MPEG-4/SD,601.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,KTOO 360 TV,https://www.lyngsat.com/tvchannels/us/KTOO-360-TV.html,False,GCI,Eng
101.0,History West,MPEG-4/SD,801.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,History West,https://www.lyngsat.com/tvchannels/us/History-West.html,False,GCI,Eng
102.0,USA Network West,MPEG-4/SD,901.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
102.0,USA Network West,MPEG-4/SD,901.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
102.0,USA Network West,MPEG-4/SD,901.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
56.0,USA Network West,MPEG-4/HD,560.0,DVB-S2,30000,5/6,4080 H,tp 19,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
56.0,USA Network West,MPEG-4/HD,560.0,DVB-S2,30000,5/6,4080 H,tp 19,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
56.0,USA Network West,MPEG-4/HD,560.0,DVB-S2,30000,5/6,4080 H,tp 19,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
63.0,USA Network West,MPEG-2/SD,630.0,DVB-S2,30000,5/6,4080 H,tp 19,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
63.0,USA Network West,MPEG-2/SD,630.0,DVB-S2,30000,5/6,4080 H,tp 19,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
63.0,USA Network West,MPEG-2/SD,630.0,DVB-S2,30000,5/6,4080 H,tp 19,0,PowerVu,,USA Network West,https://www.lyngsat.com/tvchannels/us/USA-Network-West.html,False,GCI,Eng
103.0,ESPN US,MPEG-4/SD,1001.0,DVB-S2,30000,5/6,3860 V,tp 8,0,PowerVu,,ESPN US,https://www.lyngsat.com/tvchannels/us/ESPN-US.html,False,GCI,Eng
