SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
,CCTV,,,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-20,,DVB-S,20000.0,3/4,3820 V,tp 6,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-20,,DVB-S,20000.0,3/4,3820 V,tp 6,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-20,,DVB-S,20000.0,3/4,3820 V,tp 6,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-20,,DVB-S,20000.0,3/4,3820 V,tp 6,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-20,,DVB-S,20000.0,3/4,3820 V,tp 6,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-20,,DVB-S,20000.0,3/4,3820 V,tp 6,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-20,,DVB-S,20000.0,3/4,3820 V,tp 6,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,4060 V,,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,4060 V,,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,4060 V,,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,4060 V,,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,4060 V,,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,4060 V,,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,,,DVB-S,27500.0,3/4,4060 V,,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-19,,DVB-S,27500.0,3/4,4100 V,tp 20,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-19,,DVB-S,27500.0,3/4,4100 V,tp 20,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-19,,DVB-S,27500.0,3/4,4100 V,tp 20,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-19,,DVB-S,27500.0,3/4,4100 V,tp 20,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-19,,DVB-S,27500.0,3/4,4100 V,tp 20,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-19,,DVB-S,27500.0,3/4,4100 V,tp 20,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-19,,DVB-S,27500.0,3/4,4100 V,tp 20,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-3,,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-3,,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-3,,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-3,,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-3,,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-3,,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-3,,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-4,,DVB-S,8330.0,3/4,4145 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-4,,DVB-S,8330.0,3/4,4145 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-4,,DVB-S,8330.0,3/4,4145 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-4,,DVB-S,8330.0,3/4,4145 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-4,,DVB-S,8330.0,3/4,4145 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-4,,DVB-S,8330.0,3/4,4145 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
,CCTV,2184-4,,DVB-S,8330.0,3/4,4145 V,tp 22,0.0,Videoguard,https://www.lyngsat.com/providers/cn/CCTV.html,,,,,True,CCTV,
811,CCTV 3,AVS+/HD,512.0,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,,CCTV 3,https://www.lyngsat.com/tvchannels/cn/CCTV-3.html,,,False,CCTV,Chi
811,CCTV 3,AVS+/HD,512.0,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,,CCTV 3,https://www.lyngsat.com/tvchannels/cn/CCTV-3.html,,,False,CCTV,Chi
812,CCTV 5,AVS+/HD,513.0,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,,CCTV 5,https://www.lyngsat.com/tvchannels/cn/CCTV-5.html,,,False,CCTV,Chi
813,CCTV 8,AVS+/HD,514.0,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,,CCTV 8,https://www.lyngsat.com/tvchannels/cn/CCTV-8.html,,,False,CCTV,Chi
813,CCTV 8,AVS+/HD,514.0,DVB-S,27500.0,3/4,3720 H,tp 1,0.0,Videoguard,,CCTV 8,https://www.lyngsat.com/tvchannels/cn/CCTV-8.html,,,False,CCTV,Chi
851,CCTV 1,AVS+/HD,512.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,,,False,CCTV,Chi
851,CCTV 1,AVS+/HD,512.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,,,False,CCTV,Chi
851,CCTV 1,AVS+/HD,512.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,,,False,CCTV,Chi
851,CCTV 1,AVS+/HD,512.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,,,False,CCTV,Chi
301,CCTV 1,AVS+,512.0,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,,,False,CCTV,Chi
301,CCTV 1,AVS+,512.0,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,,,False,CCTV,Chi
301,CCTV 1,AVS+,512.0,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,,,False,CCTV,Chi
301,CCTV 1,AVS+,512.0,DVB-S,14800.0,3/4,4130 V,tp 22,0.0,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,,,False,CCTV,Chi
852,CCTV 5+,AVS+/HD,513.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,Videoguard,,CCTV 5+,https://www.lyngsat.com/tvchannels/cn/CCTV-5-.html,,,False,CCTV,Chi
853,CCTV 4 Asia,MPEG-4/HD,514.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,,,CCTV 4 Asia,https://www.lyngsat.com/tvchannels/cn/CCTV-4-Asia.html,,,False,CCTV,Chi
853,CCTV 4 Asia,MPEG-4/HD,514.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,,,CCTV 4 Asia,https://www.lyngsat.com/tvchannels/cn/CCTV-4-Asia.html,,,False,CCTV,Chi
853,CCTV 4 Asia,MPEG-4/HD,514.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,,,CCTV 4 Asia,https://www.lyngsat.com/tvchannels/cn/CCTV-4-Asia.html,,,False,CCTV,Chi
853,CCTV 4 Asia,MPEG-4/HD,514.0,DVB-S,27500.0,3/4,3780 V,tp 4,0.0,,,CCTV 4 Asia,https://www.lyngsat.com/tvchannels/cn/CCTV-4-Asia.html,,,False,CCTV,Chi
