SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
,,,,ABS-S,28800,3/4,11960 L,,,Videoguard,,,,False,,
,Nei Monggol TV,,,ABS-S,28800,3/4,11960 L,,,Videoguard,,Nei Monggol TV,https://www.lyngsat.com/tvchannels/cn/Nei-Monggol-TV.html,False,,Mon
,Yanbian TV 1,,,ABS-S,28800,3/4,11960 L,,,Videoguard,,Yanbian TV 1,https://www.lyngsat.com/tvchannels/cn/Yanbian-TV-1.html,False,,Chi
,Xizang TV Chinese,,,ABS-S,28800,3/4,11960 L,,,Videoguard,,Xizang TV Chinese,https://www.lyngsat.com/tvchannels/cn/Xizang-TV-Chinese.html,False,,Chi
,Xizang TV Tibetan,,,ABS-S,28800,3/4,11960 L,,,Videoguard,,Xizang TV Tibetan,https://www.lyngsat.com/tvchannels/cn/Xizang-TV-Tibetan.html,False,,Tib
,Ando TV,,,ABS-S,28800,3/4,11960 L,,,Videoguard,,Ando TV,https://www.lyngsat.com/tvchannels/cn/Ando-TV.html,False,,
,CCTV,,,ABS-S,28800,3/4,12020 R,,,Videoguard,https://www.lyngsat.com/providers/--/CCTV.html,,,True,CCTV,
,CCTV 1,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,False,CCTV,Chi
,CCTV 1,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 1,https://www.lyngsat.com/tvchannels/cn/CCTV-1.html,False,CCTV,Chi
,CCTV 2,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 2,https://www.lyngsat.com/tvchannels/cn/CCTV-2.html,False,CCTV,Chi
,CCTV 2,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 2,https://www.lyngsat.com/tvchannels/cn/CCTV-2.html,False,CCTV,Chi
,CCTV 7,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 7,https://www.lyngsat.com/tvchannels/cn/CCTV-7.html,False,CCTV,Chi
,CCTV 7,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 7,https://www.lyngsat.com/tvchannels/cn/CCTV-7.html,False,CCTV,Chi
,CCTV 10,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 10,https://www.lyngsat.com/tvchannels/cn/CCTV-10.html,False,CCTV,Chi
,CCTV 10,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 10,https://www.lyngsat.com/tvchannels/cn/CCTV-10.html,False,CCTV,Chi
,CCTV 12,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 12,https://www.lyngsat.com/tvchannels/cn/CCTV-12.html,False,CCTV,Chi
,CCTV 12,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 12,https://www.lyngsat.com/tvchannels/cn/CCTV-12.html,False,CCTV,Chi
,CCTV 13,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 13,https://www.lyngsat.com/tvchannels/cn/CCTV-13.html,False,CCTV,Chi
,CCTV 13,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 13,https://www.lyngsat.com/tvchannels/cn/CCTV-13.html,False,CCTV,Chi
,CCTV 14,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 14,https://www.lyngsat.com/tvchannels/cn/CCTV-14.html,False,CCTV,Chi
,CCTV 14,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 14,https://www.lyngsat.com/tvchannels/cn/CCTV-14.html,False,CCTV,Chi
,CCTV 17,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 17,https://www.lyngsat.com/tvchannels/cn/CCTV-17.html,False,CCTV,Chi
,CCTV 17,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CCTV 17,https://www.lyngsat.com/tvchannels/cn/CCTV-17.html,False,CCTV,Chi
,CETV 1,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CETV 1,https://www.lyngsat.com/tvchannels/cn/CETV-1.html,False,CCTV,Chi
,CETV 1,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CETV 1,https://www.lyngsat.com/tvchannels/cn/CETV-1.html,False,CCTV,Chi
,CRI Newsradio,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CRI Newsradio,https://www.lyngsat.com/radiochannels/cn/CRI-Newsradio.html,False,CCTV,Chi
,CNR 17 Kazakh Radio,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CNR 17 Kazakh Radio,https://www.lyngsat.com/radiochannels/cn/CNR-17-Kazakh-Radio.html,False,CCTV,Kaz
,CNR 11 Tibetan Radio,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CNR 11 Tibetan Radio,https://www.lyngsat.com/radiochannels/cn/CNR-11-Tibetan-Radio.html,False,CCTV,Tib
,CNR 13 Uyghur Radio,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CNR 13 Uyghur Radio,https://www.lyngsat.com/radiochannels/cn/CNR-13-Uyghur-Radio.html,False,CCTV,Uig
,CNR 1 Voice of China,,,ABS-S,28800,3/4,12020 R,,,Videoguard,,CNR 1 Voice of China,https://www.lyngsat.com/radiochannels/cn/CNR-1-Voice-of-China.html,False,CCTV,Chi
