SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
1.0,GNC Sibir,176-177MPEG-2/SD,4194.0,DVB-S,2626,3/4,3605 L,tp 2A,0,,,,,False,,Rus
1.0,Avtoradio Yar-Sale,?-?,,DVB-S,1000,3/4,3616 R,tp 3,0,,,,,False,,Rus
,RTRS 1,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,17500,3/4,3705 L,tp 4A,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,,,DVB-S2,17500,3/4,3786 R,tp 5,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,8835-1,,DVB-S2,17500,3/4,4064 R,tp 8,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,8835-1,,DVB-S2,17500,3/4,4064 R,tp 8,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,8835-1,,DVB-S2,17500,3/4,4064 R,tp 8,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
,RTRS 1,8835-1,,DVB-S2,17500,3/4,4064 R,tp 8,0,,https://www.lyngsat.com/providers/ru/RTRS-1.html,,,True,RTRS 1,
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,3786 R,tp 5,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,3786 R,tp 5,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,3786 R,tp 5,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,3786 R,tp 5,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,3786 R,tp 5,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,3786 R,tp 5,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,4064 R,tp 8,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,4064 R,tp 8,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,4064 R,tp 8,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,4064 R,tp 8,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,4064 R,tp 8,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1010.0,Perviy kanal (+4h),MPEG-4/SD,1011.0,DVB-S2,17500,3/4,4064 R,tp 8,0,GoSTcrypt,,Perviy kanal (+4h),https://www.lyngsat.com/tvchannels/ru/Perviy-kanal.html,False,RTRS 1,Rus
1030.0,Match!,MPEG-4/SD,1031.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Match!,https://www.lyngsat.com/tvchannels/ru/Match.html,False,RTRS 1,Rus
1030.0,Match!,MPEG-4/SD,1031.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Match!,https://www.lyngsat.com/tvchannels/ru/Match.html,False,RTRS 1,Rus
1030.0,Match!,MPEG-4/SD,1031.0,DVB-S2,1000,3/4,3640 R,tp 3,0,GoSTcrypt,,Match!,https://www.lyngsat.com/tvchannels/ru/Match.html,False,RTRS 1,Rus
