SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
,Wide Network Solutions,5478-5478,,DVB-S,27500,2/3,10762 V,tp D3,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,5478-5478,,DVB-S,27500,2/3,10762 V,tp D3,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,5478-5478,,DVB-S,27500,2/3,10762 V,tp D3,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,5478-5478,,DVB-S,27500,2/3,10762 V,tp D3,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,5478-5478,,DVB-S,27500,2/3,10762 V,tp D3,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,4478-4478,,DVB-S2,30000,3/4,10762 H,tp D4,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,4478-4478,,DVB-S2,30000,3/4,10762 H,tp D4,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,4478-4478,,DVB-S2,30000,3/4,10762 H,tp D4,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,4478-4478,,DVB-S2,30000,3/4,10762 H,tp D4,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,4478-4478,,DVB-S2,30000,3/4,10762 H,tp D4,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,6478-6478,,DVB-S,27500,2/3,10845 V,tp D7,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,6478-6478,,DVB-S,27500,2/3,10845 V,tp D7,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
,Wide Network Solutions,6478-6478,,DVB-S,27500,2/3,10845 V,tp D7,0.0,,https://www.lyngsat.com/providers/uk/Wide-Network-Solutions.html,,,,,True,Wide Network Solutions,,
