SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,(feeds),,,DVB-S2,4800,3/4,10956 H,tp 123,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,10962 H,tp 123,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,10968 H,tp 123,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,10974 H,tp 123,,,,,,False,,,
,(feeds),,,DVB-S2,2500,3/4,10985 H,tp 123,,,,,,False,,,
,(feeds),,,DVB-S2,2500,3/4,10988 H,tp 123,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,10999 H,tp 125,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11008 H,tp 125,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11017 H,tp 125,,,,,,False,,,
,(feeds),,,DVB-S2,8888,2/3,11022 V,tp 126,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,11028 H,tp 125,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11040 H,tp 127,,,,,,False,,,
,(feeds),,,DVB-S2,7500,3/4,11047 V,tp 126,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11049 H,tp 127,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11059 H,tp 127,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11068 H,tp 127,,,,,,False,,,
,(feeds),,,DVB-S2,7500,3/4,11083 H,tp 129,,,,,,False,,,
,(feeds),,,DVB-S2,7500,5/6,11088 V,tp 128,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11091 H,tp 129,,,,,,False,,,
,(feeds),,,DVB-S2,3166,3/4,11098 H,tp 129,,,,,,False,,,
,(feeds),,,DVB-S2,3166,2/3,11100 V,tp 130,,,,,,False,,,
,(feeds),,,DVB-S2,3166,3/4,11103 H,tp 129,,,,,,False,,,
,(feeds),,,DVB-S2,3600,5/6,11105 V,tp 130,,,,,,False,,,
,(feeds),,,DVB-S2,3166,3/4,11107 H,tp 129,,,,,,False,,,
,(feeds),,,DVB-S2,3166,3/4,11111 H,tp 129,,,,,,False,,,
,(feeds),,,DVB-S,3333,3/4,11120 V,tp 130,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,11122 H,tp 131,,,,,,False,,,
,(feeds),,,DVB-S2,4444,3/4,11128 H,tp 131,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,11129 V,tp 130,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,11141 H,tp 131,,,,,,False,,,
,(feeds),,,DVB-S2,3750,3/4,11148 V,tp 132,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,11149 H,tp 131,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,11152 V,tp 132,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11161 V,tp 132,,,,,,False,,,
,(feeds),,,DVB-S2,2400,2/3,11166 H,tp 133,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,11169 H,tp 133,,,,,,False,,,
,(feeds),,,DVB-S2,4444,3/4,11173 V,tp 132,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,11175 H,tp 133,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,11179 H,tp 133,,,,,,False,,,
,(feeds),,,DVB-S2,4900,3/4,11185 V,tp 134,,,,,,False,,,
,(feeds),,,DVB-S2,4900,3/4,11191 V,tp 134,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,11193 H,tp 133,,,,,,False,,,
,(feeds),,,DVB-S2,4680,2/3,11572 V,tp 154,,,,,,False,,,
,(feeds),,,DVB-S2,4680,2/3,11578 V,tp 154,,,,,,False,,,
,(feeds),,,DVB-S2,4680,2/3,11583 V,tp 154,,,,,,False,,,
,(feeds),,,DVB-S2,4680,2/3,11589 V,tp 154,,,,,,False,,,
,(feeds),,,DVB-S2,4680,2/3,11610 V,tp 156,,,,,,False,,,
,(feeds),,,DVB-S2,4680,2/3,11616 V,tp 156,,,,,,False,,,
,(feeds),,,DVB-S2,8888,3/4,11649 V,tp 158,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/5,11657 V,tp 158,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/5,11666 V,tp 158,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11667 H,tp 159,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,11684 H,tp 159,,,,,,False,,,
,(feeds),,,DVB-S,2222,3/4,11696 H,tp 159,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,12506 V,tp 90,,,,,,False,,,
,(feeds),,,DVB-S,2222,3/4,12517 V,tp 90,,,,,,False,,,
,(feeds),,,DVB-S2,3600,5/6,12523 V,tp 90,,,,,,False,,,
,(feeds),,,DVB-S2,8888,3/4,12526 H,tp 91,,,,,,False,,,
,(feeds),,,DVB-S2,8888,3/4,12531 V,tp 90,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,12541 H,tp 91,,,,,,False,,,
,(feeds),,,DVB-S2,3600,3/4,12543 V,tp 92,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,12550 V,tp 92,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,12552 H,tp 91,,,,,,False,,,
,(feeds),,,DVB-S2,3820,3/4,12557 V,tp 92,,,,,,False,,,
,(feeds),,,DVB-S2,8888,3/4,12565 H,tp 93,,,,,,False,,,
,(feeds),,,DVB-S,2222,3/4,12570 V,tp 92,,,,,,False,,,
,(feeds),,,DVB-S2,7500,3/4,12581 H,tp 93,,,,,,False,,,
,(feeds),,,DVB-S2,8888,3/4,12588 V,tp 94,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,12590 H,tp 93,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,12599 V,tp 94,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,12603 H,tp 95,,,,,,False,,,
,(feeds),,,DVB-S,3750,3/4,12605 V,tp 94,,,,,,False,,,
,(feeds),,,DVB-S2,7500,5/6,12622 V,tp 96,,,,,,False,,,
,(feeds),,,DVB-S2,7500,3/4,12628 H,tp 95,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,12661 V,tp 98,,,,,,False,,,
,(feeds),,,DVB-S2,14400,3/4,12662 H,tp 97,,,,,,False,,,
,(feeds),,,DVB-S2,10000,3/4,12672 V,tp 98,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,12678 H,tp 99,,,,,,False,,,
