SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
2101.0,Channel 5 (UK),MPEG-2/SD,2335.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,Channel 5 (UK),https://www.lyngsat.com/tvchannels/uk/Channel-5.html,,,False,,Eng,uk
2101.0,Channel 5 (UK),MPEG-2/SD,2335.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,Channel 5 (UK),https://www.lyngsat.com/tvchannels/uk/Channel-5.html,,,False,,Eng,uk
2108.0,Channel 5 (UK),MPEG-4/HD,2349.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,Channel 5 (UK),https://www.lyngsat.com/tvchannels/uk/Channel-5.html,,,False,,Eng,uk
2108.0,Channel 5 (UK),MPEG-4/HD,2349.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,Channel 5 (UK),https://www.lyngsat.com/tvchannels/uk/Channel-5.html,,,False,,Eng,uk
2102.0,5 USA,MPEG-2/SD,2323.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,5 USA,https://www.lyngsat.com/tvchannels/uk/5-USA.html,,,False,,Eng,uk
2103.0,5 USA +1,MPEG-2/SD,2329.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,5 USA +1,https://www.lyngsat.com/tvchannels/uk/5-USA--1.html,,,False,,Eng,uk
2104.0,5 Star,MPEG-2/SD,2305.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,5 Star,https://www.lyngsat.com/tvchannels/uk/5-Star.html,,,False,,Eng,uk
2105.0,5 Select,MPEG-2/SD,2317.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,5 Select,https://www.lyngsat.com/tvchannels/uk/5-Select.html,,,False,,Eng,uk
2106.0,5 Star +1,MPEG-2/SD,2311.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,5 Star +1,https://www.lyngsat.com/tvchannels/uk/5-Star--1.html,,,False,,Eng,uk
2107.0,Channel 5 +1,MPEG-2/SD,2341.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,Channel 5 +1,https://www.lyngsat.com/tvchannels/uk/Channel-5--1.html,,,False,,Eng,uk
2109.0,5 Action,MPEG-2/SD,2353.0,DVB-S,27500,2/3,11305 H,tp 109,0.0,,,5 Action,https://www.lyngsat.com/tvchannels/uk/5-Action.html,,,False,,Eng,uk
53300.0,Great! Movies Ireland,MPEG-2/SD,2308.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Movies Ireland,https://www.lyngsat.com/tvchannels/uk/Great-Movies-Ireland.html,,,False,,Eng,uk
53305.0,Great! TV Ireland,MPEG-2/SD,2304.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! TV Ireland,https://www.lyngsat.com/tvchannels/uk/Great-TV-Ireland.html,,,False,,Eng,uk
53310.0,Great! Action,MPEG-2/SD,2306.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Action,https://www.lyngsat.com/tvchannels/uk/Great-Action.html,,,False,,Eng,uk
53315.0,Great! Movies UK,MPEG-2/SD,2349.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Movies UK,https://www.lyngsat.com/tvchannels/uk/Great-Movies-UK.html,,,False,,Eng,uk
53320.0,Great! Romance,MPEG-2/SD,2313.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Romance,https://www.lyngsat.com/tvchannels/uk/Great-Romance.html,,,False,,Eng,uk
53325.0,Great! Romance +1,MPEG-2/SD,2317.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Romance +1,https://www.lyngsat.com/tvchannels/uk/Great-Romance--1.html,,,False,,Eng,uk
53335.0,Great! Real,MPEG-2/SD,2310.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Real,https://www.lyngsat.com/tvchannels/uk/Great-Real.html,,,False,,Eng,uk
53340.0,Pop,MPEG-2/SD,2315.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Pop,https://www.lyngsat.com/tvchannels/uk/Pop.html,,,False,,Eng,uk
53350.0,Pop Max,MPEG-2/SD,2337.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Pop Max,https://www.lyngsat.com/tvchannels/uk/Pop-Max.html,,,False,,Eng,uk
53355.0,Great! Movies UK +1,MPEG-2/SD,2352.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Movies UK +1,https://www.lyngsat.com/tvchannels/uk/Great-Movies-UK--1.html,,,False,,Eng,uk
53360.0,Pop Max +1,MPEG-2/SD,2333.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Pop Max +1,https://www.lyngsat.com/tvchannels/uk/Pop-Max--1.html,,,False,,Eng,uk
53365.0,Great! Action +1,MPEG-2/SD,2319.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Action +1,https://www.lyngsat.com/tvchannels/uk/Great-Action--1.html,,,False,,Eng,uk
53370.0,Pop +1,MPEG-2/SD,2339.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Pop +1,https://www.lyngsat.com/tvchannels/uk/Pop--1.html,,,False,,Eng,uk
53375.0,Great! TV UK,MPEG-2/SD,2341.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! TV UK,https://www.lyngsat.com/tvchannels/uk/Great-TV-UK.html,,,False,,Eng,uk
53380.0,Great! TV UK +1,MPEG-2/SD,2344.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! TV UK +1,https://www.lyngsat.com/tvchannels/uk/Great-TV-UK--1.html,,,False,,Eng,uk
53385.0,Great! Real +1,MPEG-2/SD,2324.0,DVB-S,27500,5/6,11306 V,tp 110,0.0,,,Great! Real +1,https://www.lyngsat.com/tvchannels/uk/Great-Real--1.html,,,False,,Eng,uk
53205.0,Must Have Ideas,MPEG-2/SD,2330.0,DVB-S,27500,5/6,11344 H,tp 111,0.0,,,Must Have Ideas,https://www.lyngsat.com/tvchannels/uk/Must-Have-Ideas.html,,,False,,Eng,uk
53215.0,Chart Show Retro,MPEG-2/SD,2355.0,DVB-S,27500,5/6,11344 H,tp 111,0.0,,,Chart Show Retro,https://www.lyngsat.com/tvchannels/uk/Chart-Show-Retro.html,,,False,,Eng,uk
