SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
1.0,Es'hailSat promo,65535-43690MPEG-4/HD,257.0,DVB-S2,1500,4/5,10492 H,,,,,,,,,False,,,
,,224-1090,,DVB-S,30000,3/4,10730 H,,50.0,,,,,,,False,,,
,,,,DVB-S2,27500,2/3,10890 V,,50.0,,,,,,,False,,,
,,,,DVB-S2,27500,2/3,10930 H,,50.0,,,,,,,False,,,
,,224-2050,,DVB-S2,30000,2/3,11310 V,tp E6,50.0,,,,,,,False,,,
,,,,DVB-S2,27500,2/3,11430 H,,50.0,,,,,,,False,,,
10903.0,Qatar Today,MPEG-4/SD,931.0,DVB-S,30000,3/4,10730 H,,50.0,,,Qatar Today,https://www.lyngsat.com/tvchannels/qa/Qatar-Today.html,,,False,,Ara,qa
10904.0,Al Mamlaka TV,MPEG-2/SD,941.0,DVB-S,30000,3/4,10730 H,,50.0,,,Al Mamlaka TV,https://www.lyngsat.com/tvchannels/jo/Al-Mamlaka-TV.html,,,False,,Ara,jo
10904.0,Al Mamlaka TV,MPEG-2/SD,941.0,DVB-S,30000,3/4,10730 H,,50.0,,,Al Mamlaka TV,https://www.lyngsat.com/tvchannels/jo/Al-Mamlaka-TV.html,,,False,,Ara,jo
10905.0,Al-Aqsa TV,MPEG-4/HD,951.0,DVB-S,30000,3/4,10730 H,,50.0,,,Al-Aqsa TV,https://www.lyngsat.com/tvchannels/ps/Al-Aqsa-TV.html,,,False,,Ara,ps
,Al Rayyan,224-2070,,DVB-S2,27500,2/3,10730 V,,50.0,,https://www.lyngsat.com/providers/qa/Al-Rayyan.html,Al Rayyan,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan.html,,,True,Al Rayyan,,qa
,Al Rayyan,224-2070,,DVB-S2,27500,2/3,10730 V,,50.0,,https://www.lyngsat.com/providers/qa/Al-Rayyan.html,Al Rayyan,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan.html,,,True,Al Rayyan,,qa
20701.0,Al Rayyan,MPEG-4/HD,101.0,DVB-S2,27500,2/3,10730 V,,50.0,,https://www.lyngsat.com/providers/qa/Al-Rayyan.html,Al Rayyan,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan.html,,,True,Al Rayyan,Ara,qa
20701.0,Al Rayyan,MPEG-4/HD,101.0,DVB-S2,27500,2/3,10730 V,,50.0,,https://www.lyngsat.com/providers/qa/Al-Rayyan.html,Al Rayyan,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan.html,,,True,Al Rayyan,Ara,qa
20702.0,Al Rayyan Al Qadeem,MPEG-4/HD,102.0,DVB-S2,27500,2/3,10730 V,,50.0,,,Al Rayyan Al Qadeem,https://www.lyngsat.com/tvchannels/qa/Al-Rayyan-Al-Qadeem.html,,,False,Al Rayyan,Ara,qa
20703.0,Al Rayyan Radio,,,DVB-S2,27500,2/3,10730 V,,50.0,,,Al Rayyan Radio,https://www.lyngsat.com/radiochannels/qa/Al-Rayyan-Radio.html,,,False,Al Rayyan,Ara,qa
20704.0,Sout Al Islam,,,DVB-S2,27500,2/3,10730 V,,50.0,,,Sout Al Islam,https://www.lyngsat.com/radiochannels/qa/Sout-Al-Islam.html,,,False,Al Rayyan,Ara,qa
,Al Kass,224-4137,,DVB-S2,27500,3/4,10770 H,,50.0,"Irdeto,Videoguard",https://www.lyngsat.com/providers/qa/Al-Kass.html,,,,,True,Al Kass,,
111.0,Al Kass Five,MPEG-4/HD,203.0,DVB-S2,27500,3/4,10770 H,,50.0,,,Al Kass Five,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Five.html,,,False,Al Kass,Ara Eng,qa
112.0,Al Kass Six,MPEG-4/HD,221.0,DVB-S2,27500,3/4,10770 H,,50.0,"Irdeto,Videoguard",,Al Kass Six,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Six.html,,,False,Al Kass,Ara Eng,qa
113.0,Al Kass Nine,MPEG-4/HD,223.0,DVB-S2,27500,3/4,10770 H,,50.0,"Irdeto,Videoguard",,Al Kass Nine,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Nine.html,,,False,Al Kass,Ara Eng,qa
114.0,Al Kass Ten,MPEG-4/HD,202.0,DVB-S2,27500,3/4,10770 H,,50.0,"Irdeto,Videoguard",,Al Kass Ten,https://www.lyngsat.com/tvchannels/qa/Al-Kass-Ten.html,,,False,Al Kass,Ara Eng,qa
