SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
30102,[Movistar+ test card],MPEG-2/SD,163.0,DVB-S,22000,5/6,10847 V,tp 58,0,,,,,,,False,,Spa,
30150,Canal Portada,MPEG-2/SD,171.0,DVB-S,22000,5/6,10847 V,tp 58,0,,,Canal Portada,https://www.lyngsat.com/tvchannels/es/Canal-Portada.html,,,False,,Spa,es
,ARD Digital,1-1061,,DVB-S2,22000,2/3,10891 H,tp 61,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
,ARD Digital,1-1061,,DVB-S2,22000,2/3,10891 H,tp 61,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
,ARD Digital,1-1061,,DVB-S2,22000,2/3,10891 H,tp 61,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
,ARD Digital,1-1073,,DVB-S,27500,3/4,12110 H,tp 85,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
,ARD Digital,1-1073,,DVB-S,27500,3/4,12110 H,tp 85,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
,ARD Digital,1-1073,,DVB-S,27500,3/4,12110 H,tp 85,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
,ARD Digital,1-1201,,DVB-S,27500,3/4,12422 H,tp 101,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
,ARD Digital,1-1201,,DVB-S,27500,3/4,12422 H,tp 101,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
,ARD Digital,1-1201,,DVB-S,27500,3/4,12422 H,tp 101,0,,https://www.lyngsat.com/providers/de/ARD-Digital.html,,,,,True,ARD Digital,,
10350,RBB Brandenburg (19.30-20.00),MPEG-4/HD,5301.0,DVB-S2,22000,2/3,10891 H,tp 61,0,,,RBB Brandenburg (19.30-20.00),https://www.lyngsat.com/tvchannels/de/RBB-Brandenburg.html,,,False,ARD Digital,Ger Qaa Ger,de
10350,RBB Brandenburg (19.30-20.00),MPEG-4/HD,5301.0,DVB-S2,22000,2/3,10891 H,tp 61,0,,,RBB Brandenburg (19.30-20.00),https://www.lyngsat.com/tvchannels/de/RBB-Brandenburg.html,,,False,ARD Digital,Ger Qaa Ger,de
28205,RBB Brandenburg (19.30-20.00),MPEG-2/SD,501.0,DVB-S,27500,3/4,12110 H,tp 85,0,,,RBB Brandenburg (19.30-20.00),https://www.lyngsat.com/tvchannels/de/RBB-Brandenburg.html,,,False,ARD Digital,Ger,de
28205,RBB Brandenburg (19.30-20.00),MPEG-2/SD,501.0,DVB-S,27500,3/4,12110 H,tp 85,0,,,RBB Brandenburg (19.30-20.00),https://www.lyngsat.com/tvchannels/de/RBB-Brandenburg.html,,,False,ARD Digital,Ger,de
10351,RBB Berlin,MPEG-4/HD,5311.0,DVB-S2,22000,2/3,10891 H,tp 61,0,,,RBB Berlin,https://www.lyngsat.com/tvchannels/de/RBB-Berlin.html,,,False,ARD Digital,Ger Qaa Ger,de
10351,RBB Berlin,MPEG-4/HD,5311.0,DVB-S2,22000,2/3,10891 H,tp 61,0,,,RBB Berlin,https://www.lyngsat.com/tvchannels/de/RBB-Berlin.html,,,False,ARD Digital,Ger Qaa Ger,de
28206,RBB Berlin,MPEG-2/SD,601.0,DVB-S,27500,3/4,12110 H,tp 85,0,,,RBB Berlin,https://www.lyngsat.com/tvchannels/de/RBB-Berlin.html,,,False,ARD Digital,Ger,de
