SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,Signet,1-1,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,https://www.lyngsat.com/providers/ke/Signet.html,,,True,Signet,,
1.0,Star Africa TV,MPEG-4/SD,1000.0,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Star Africa TV,https://www.lyngsat.com/tvchannels/ke/Star-Africa-TV.html,False,Signet,Eng,ke
9.0,KU TV,MPEG-4/SD,1091.0,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,KU TV,https://www.lyngsat.com/tvchannels/ke/KU-TV.html,False,Signet,Eng,ke
24.0,Mt Kenya TV,MPEG-4/SD,1241.0,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Mt Kenya TV,https://www.lyngsat.com/tvchannels/ke/Mt-Kenya-TV.html,False,Signet,Eng,ke
35.0,Baite TV,MPEG-4/SD,1351.0,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Baite TV,https://www.lyngsat.com/tvchannels/ke/Baite-TV.html,False,Signet,Eng,ke
42.0,Mutongoi TV,MPEG-4/SD,1421.0,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Mutongoi TV,https://www.lyngsat.com/tvchannels/ke/Mutongoi-TV.html,False,Signet,Eng,ke
55.0,Testimony TV (Kenya),MPEG-4/SD,1551.0,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Testimony TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Testimony-TV.html,False,Signet,Eng,ke
101.0,KBC Channel 1,MPEG-4/SD,601.0,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,KBC Channel 1,https://www.lyngsat.com/tvchannels/ke/KBC-Channel-1.html,False,Signet,Eng,ke
102.0,KBC Radio Taifa,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,KBC Radio Taifa,https://www.lyngsat.com/radiochannels/ke/KBC-Radio-Taifa.html,False,Signet,,ke
102.0,KBC Radio Taifa,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,KBC Radio Taifa,https://www.lyngsat.com/radiochannels/ke/KBC-Radio-Taifa.html,False,Signet,,ke
103.0,KBC English Service,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,KBC English Service,https://www.lyngsat.com/radiochannels/ke/KBC-English-Service.html,False,Signet,Eng,ke
103.0,KBC English Service,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,KBC English Service,https://www.lyngsat.com/radiochannels/ke/KBC-English-Service.html,False,Signet,Eng,ke
104.0,Iftiin FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Iftiin FM,https://www.lyngsat.com/radiochannels/ke/Iftiin-FM.html,False,Signet,,ke
104.0,Iftiin FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Iftiin FM,https://www.lyngsat.com/radiochannels/ke/Iftiin-FM.html,False,Signet,,ke
104.0,Iftiin FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Iftiin FM,https://www.lyngsat.com/radiochannels/ke/Iftiin-FM.html,False,Signet,,ke
104.0,Iftiin FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Iftiin FM,https://www.lyngsat.com/radiochannels/ke/Iftiin-FM.html,False,Signet,,ke
205.0,Iftiin FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Iftiin FM,https://www.lyngsat.com/radiochannels/ke/Iftiin-FM.html,False,Signet,,ke
205.0,Iftiin FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Iftiin FM,https://www.lyngsat.com/radiochannels/ke/Iftiin-FM.html,False,Signet,,ke
205.0,Iftiin FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Iftiin FM,https://www.lyngsat.com/radiochannels/ke/Iftiin-FM.html,False,Signet,,ke
205.0,Iftiin FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Iftiin FM,https://www.lyngsat.com/radiochannels/ke/Iftiin-FM.html,False,Signet,,ke
105.0,Coro FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Coro FM,https://www.lyngsat.com/radiochannels/ke/Coro-FM.html,False,Signet,,ke
105.0,Coro FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Coro FM,https://www.lyngsat.com/radiochannels/ke/Coro-FM.html,False,Signet,,ke
106.0,Nosim FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Nosim FM,https://www.lyngsat.com/radiochannels/ke/Nosim-FM.html,False,Signet,,ke
106.0,Nosim FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Nosim FM,https://www.lyngsat.com/radiochannels/ke/Nosim-FM.html,False,Signet,,ke
107.0,Minto FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Minto FM,https://www.lyngsat.com/radiochannels/ke/Minto-FM.html,False,Signet,,ke
107.0,Minto FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Minto FM,https://www.lyngsat.com/radiochannels/ke/Minto-FM.html,False,Signet,,ke
108.0,Kitwek FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Kitwek FM,https://www.lyngsat.com/radiochannels/ke/Kitwek-FM.html,False,Signet,,ke
108.0,Kitwek FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Kitwek FM,https://www.lyngsat.com/radiochannels/ke/Kitwek-FM.html,False,Signet,,ke
109.0,Mayienga FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Mayienga FM,https://www.lyngsat.com/radiochannels/ke/Mayienga-FM.html,False,Signet,,ke
109.0,Mayienga FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Mayienga FM,https://www.lyngsat.com/radiochannels/ke/Mayienga-FM.html,False,Signet,,ke
110.0,Mwatu FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Mwatu FM,https://www.lyngsat.com/radiochannels/ke/Mwatu-FM.html,False,Signet,,ke
110.0,Mwatu FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Mwatu FM,https://www.lyngsat.com/radiochannels/ke/Mwatu-FM.html,False,Signet,,ke
111.0,Ingo FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Ingo FM,https://www.lyngsat.com/radiochannels/ke/Ingo-FM.html,False,Signet,,ke
111.0,Ingo FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Ingo FM,https://www.lyngsat.com/radiochannels/ke/Ingo-FM.html,False,Signet,,ke
216.0,Pwani FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Pwani FM,https://www.lyngsat.com/radiochannels/ke/Pwani-FM.html,False,Signet,,ke
216.0,Pwani FM,,,DVB-S2,6730.0,2/3,3846 R,tp C5D,,,,Pwani FM,https://www.lyngsat.com/radiochannels/ke/Pwani-FM.html,False,Signet,,ke
