SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,2RN,8564-1005,,DVB-S2,12500,5/6,20192 L,tp 4F24,,,https://www.lyngsat.com/providers/ie/2RN.html,,,True,2RN,,
5101.0,RTÉ One,MPEG-4/HD,5101.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,RTÉ One,https://www.lyngsat.com/tvchannels/ie/RTE-One.html,False,2RN,Eng Gle,ie
5102.0,RTÉ 2,MPEG-4/HD,5102.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,RTÉ 2,https://www.lyngsat.com/tvchannels/ie/RTE-2.html,False,2RN,Eng Gle,ie
5103.0,RTÉ News,MPEG-4/SD,5103.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,RTÉ News,https://www.lyngsat.com/tvchannels/ie/RTE-News.html,False,2RN,Eng,ie
5103.0,RTÉ News,MPEG-4/SD,5103.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,RTÉ News,https://www.lyngsat.com/tvchannels/ie/RTE-News.html,False,2RN,Eng,ie
5104.0,TG 4,MPEG-4/SD,5104.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,TG 4,https://www.lyngsat.com/tvchannels/ie/TG-4.html,False,2RN,Gle,ie
5107.0,RTÉ Jr (06-19),MPEG-4/SD,5107.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,RTÉ Jr (06-19),https://www.lyngsat.com/tvchannels/ie/RTE-Jr.html,False,2RN,Eng,ie
5108.0,Cúla 4,MPEG-4/SD,5106.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,Cúla 4,https://www.lyngsat.com/tvchannels/ie/Cula-4.html,False,2RN,Gle,ie
5109.0,Oireachtas TV (Mon-Fri 09-12),MPEG-4/SD,5109.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,Oireachtas TV (Mon-Fri 09-12),https://www.lyngsat.com/tvchannels/ie/Oireachtas-TV.html,False,2RN,Gle,ie
5109.0,Oireachtas TV (Mon-Fri 09-12),MPEG-4/SD,5109.0,DVB-S2,12500,5/6,20192 L,tp 4F24,,,,Oireachtas TV (Mon-Fri 09-12),https://www.lyngsat.com/tvchannels/ie/Oireachtas-TV.html,False,2RN,Gle,ie
