SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
,,,,,,,3634 L,tp 2C,38-39,,,,,,,False,,,
,,,,,,,3668 R,tp 1C,38-39,,,,,,,False,,,
,,,,DVB-S2,2857.0,5/6,3677 L,tp 2C,38-39,,,,,,,False,,,
,,,,DVB-S2,2857.0,5/6,3699 R,tp 1C,38-39,,,,,,,False,,,
,,,,DVB-S2,16833.0,3/5,3752 L,tp 4C,38-39,,,,,,,False,,,
,,,,DVB-S2,16833.0,3/5,3768 L,tp 4C,38-39,,,,,,,False,,,
,,,,DVB-S2,16833.0,3/5,3796 L,tp 6C,38-39,,,,,,,False,,,
,,,,DVB-S2,2500.0,5/6,4027 L,tp 10C,38-39,,,,,,,False,,,
,,,,DVB-S2,1700.0,3/4,4036 L,tp 10C,38-39,,,,,,,False,,,
,,,,DVB-S2,10000.0,3/4,12625 H,tp F3,47-48,,,,,,,False,,,
,,,,DVB-S2,5500.0,5/6,12649 H,tp F3,47-48,,,,,,,False,,,
1.0,Alwatania TV,65535-1MPEG-4/HD,33.0,DVB-S2,2857.0,5/6,3672 R,tp 1C,38-39,,,,,,,False,,Ara,
,Burkina Faso mux,1-1,,DVB-S2,16833.0,3/5,3729 L,tp 4C,38-39,,,,,,,False,,,
1.0,RTB TV (Burkina Faso),MPEG-4/SD,101.0,DVB-S2,16833.0,3/5,3729 L,tp 4C,38-39,,,RTB TV (Burkina Faso),https://www.lyngsat.com/tvchannels/bf/RTB-TV.html,,,False,,Fre,bf
1.0,RTB TV (Burkina Faso),MPEG-4/SD,101.0,DVB-S2,16833.0,3/5,3729 L,tp 4C,38-39,,,RTB TV (Burkina Faso),https://www.lyngsat.com/tvchannels/bf/RTB-TV.html,,,False,,Fre,bf
2.0,RTB Zénith,MPEG-4/SD,121.0,DVB-S2,16833.0,3/5,3729 L,tp 4C,38-39,,,RTB Zénith,https://www.lyngsat.com/tvchannels/bf/RTB-Zenith.html,,,False,,Fre,bf
5.0,Canal 3 (Burkina Faso),MPEG-4/SD,401.0,DVB-S2,16833.0,3/5,3729 L,tp 4C,38-39,,,Canal 3 (Burkina Faso),https://www.lyngsat.com/tvchannels/bf/Canal-3.html,,,False,,Fre,bf
6.0,BF1,MPEG-4/SD,501.0,DVB-S2,16833.0,3/5,3729 L,tp 4C,38-39,,,BF1,https://www.lyngsat.com/tvchannels/bf/BF1.html,,,False,,Fre,bf
6.0,BF1,MPEG-4/SD,501.0,DVB-S2,16833.0,3/5,3729 L,tp 4C,38-39,,,BF1,https://www.lyngsat.com/tvchannels/bf/BF1.html,,,False,,Fre,bf
