SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
7471,SBN International,MPEG-2/SD,1187.0,DVB-S2,25000,3/4,11278 V,tp C5,0,,,SBN International,https://www.lyngsat.com/tvchannels/us/SBN-International.html,,,False,,Eng,us
1721,DR P2,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,DR P2,https://www.lyngsat.com/radiochannels/dk/DR-P2.html,,,False,,Dan,dk
1721,DR P2,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,DR P2,https://www.lyngsat.com/radiochannels/dk/DR-P2.html,,,False,,Dan,dk
1723,DR P1,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,DR P1,https://www.lyngsat.com/radiochannels/dk/DR-P1.html,,,False,,Dan,dk
1723,DR P1,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,DR P1,https://www.lyngsat.com/radiochannels/dk/DR-P1.html,,,False,,Dan,dk
1738,Bandit Classics,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Bandit Classics,https://www.lyngsat.com/radiochannels/se/Bandit-Classics.html,,,False,,Swe,se
1738,Bandit Classics,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Bandit Classics,https://www.lyngsat.com/radiochannels/se/Bandit-Classics.html,,,False,,Swe,se
1739,Svenska Favoriter,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Svenska Favoriter,https://www.lyngsat.com/radiochannels/se/Svenska-Favoriter.html,,,False,,Swe,se
1739,Svenska Favoriter,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Svenska Favoriter,https://www.lyngsat.com/radiochannels/se/Svenska-Favoriter.html,,,False,,Swe,se
1740,Viasat Classic,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Viasat Classic,https://www.lyngsat.com/radiochannels/se/Viasat-Classic.html,,,False,,,se
1741,Power Hit Radio (Sweden),,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Power Hit Radio (Sweden),https://www.lyngsat.com/radiochannels/se/Power-Hit-Radio.html,,,False,,Swe,se
1741,Power Hit Radio (Sweden),,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Power Hit Radio (Sweden),https://www.lyngsat.com/radiochannels/se/Power-Hit-Radio.html,,,False,,Swe,se
1742,Power Club,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Power Club,https://www.lyngsat.com/radiochannels/se/Power-Club.html,,,False,,Swe,se
1742,Power Club,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Power Club,https://www.lyngsat.com/radiochannels/se/Power-Club.html,,,False,,Swe,se
1744,Star FM,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Star FM,https://www.lyngsat.com/radiochannels/se/Star-FM.html,,,False,,Swe,se
1744,Star FM,,,DVB-S2,25000,3/4,11278 V,tp C5,0,,,Star FM,https://www.lyngsat.com/radiochannels/se/Star-FM.html,,,False,,Swe,se
