SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,(feeds),,,DVB-S2,9600,3/4,11465 H,tp 203,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11473 H,tp 203,,,,,,False,,,
,(feeds),,,DVB-S2,3600,3/4,11481 V,tp 199,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11497 H,tp 203,,,,,,False,,,
,(feeds),,,DVB-S2,4875,3/4,11516 V,tp 199,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,11525 H,tp 204,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,11537 H,tp 204,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11539 V,tp 199,,,,,,False,,,
,(feeds),,,DVB-S2,4800,2/3,11544 V,tp 199,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,11546 H,tp 204,,,,,,False,,,
,(feeds),,,DVB-S2,3600,3/4,11547 V,tp 199,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,11552 H,tp 204,,,,,,False,,,
,(feeds),,,DVB-S2,3600,3/4,11561 V,tp 200,,,,,,False,,,
,(feeds),,,DVB-S2,9600,3/4,11567 H,tp 204,,,,,,False,,,
,(feeds),,,DVB-S2,3600,3/4,11570 V,tp 200,,,,,,False,,,
,(feeds),,,DVB-S2,3600,3/4,11575 V,tp 200,,,,,,False,,,
,(feeds),,,DVB-S2,3600,3/4,11580 V,tp 200,,,,,,False,,,
,(feeds),,,DVB-S2,7500,3/4,11585 H,tp 205,,,,,,False,,,
,(feeds),,,DVB-S2,4500,3/4,11586 V,tp 200,,,,,,False,,,
,(feeds),,,DVB-S2,4500,3/4,11592 V,tp 200,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11594 H,tp 205,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,11602 V,tp 200,,,,,,False,,,
,(feeds),,,DVB-S2,4500,3/4,11602 H,tp 205,,,,,,False,,,
,(feeds),,,DVB-S2,4875,3/4,11608 H,tp 205,,,,,,False,,,
,(feeds),,,DVB-S,4500,3/4,11614 V,tp 200,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,11614 H,tp 205,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11621 H,tp 205,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11623 V,tp 201,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,11629 H,tp 205,,,,,,False,,,
,(feeds),,,DVB-S2,4875,3/4,11656 V,tp 202,,,,,,False,,,
,(feeds),,,DVB-S,6750,3/4,11687 V,tp 202,,,,,,False,,,
109.0,(feeds),,109.0,DVB-S,27500,2/3,11884 V,tp 211,0.0,,,,,False,,,
,(feeds),,,DVB-S2,7500,3/4,12078 V,tp 180,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,12082 V,tp 180,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,12088 V,tp 180,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,12095 V,tp 180,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,12103 V,tp 180,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,12576 H,tp 194,,,,,,False,,,
,(feeds),,,DVB-S2,15000,3/4,12581 V,tp 190,,,,,,False,,,
,(feeds),,,DVB-S2,4875,3/4,12593 V,tp 190,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,12603 V,tp 190,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,12615 H,tp 196,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,12621 H,tp 196,,,,,,False,,,
,(feeds),,,DVB-S2,4800,3/4,12627 H,tp 196,,,,,,False,,,
,(feeds),,,DVB-S,4500,3/4,12633 H,tp 196,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,12639 H,tp 196,,,,,,False,,,
,(feeds),,,DVB-S2,5000,3/4,12645 H,tp 196,,,,,,False,,,
,(feeds),,,DVB-S2,4875,3/4,12679 H,tp 197,,,,,,False,,,
,(feeds),,,DVB-S2,7200,3/4,12720 H,tp 198,,,,,,False,,,
,(feeds),,,DVB-S2,9230,3/4,12734 H,tp 198,,,,,,False,,,
,Telecom CLM,8916-1,,DVB-S2,3600,3/4,11491 V,tp 199,,,https://www.lyngsat.com/providers/es/Telecom-CLM.html,,,True,Telecom CLM,,
2.0,CMM TV,MPEG-4/HD,408.0,DVB-S2,3600,3/4,11491 V,tp 199,,,,CMM TV,https://www.lyngsat.com/tvchannels/es/CMM-TV.html,False,Telecom CLM,Spa Qaa,es
2.0,CMM TV,MPEG-4/HD,408.0,DVB-S2,3600,3/4,11491 V,tp 199,,,,CMM TV,https://www.lyngsat.com/tvchannels/es/CMM-TV.html,False,Telecom CLM,Spa Qaa,es
3.0,Radio C-LM Toledo,,,DVB-S2,3600,3/4,11491 V,tp 199,,,,Radio C-LM Toledo,https://www.lyngsat.com/radiochannels/es/Radio-C-LM-Toledo.html,False,Telecom CLM,Spa,es
4.0,Radio C-LM Albacete,,,DVB-S2,3600,3/4,11491 V,tp 199,,,,Radio C-LM Albacete,https://www.lyngsat.com/radiochannels/es/Radio-C-LM-Albacete.html,False,Telecom CLM,Spa,es
6.0,Radio C-LM Ciudad Real,,,DVB-S2,3600,3/4,11491 V,tp 199,,,,Radio C-LM Ciudad Real,https://www.lyngsat.com/radiochannels/es/Radio-C-LM-Ciudad-Real.html,False,Telecom CLM,Spa,es
