SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,Unitel (Greece),,,DVB-S,6666.0,3/4,3868 V,tp 9,0,BISS,https://www.lyngsat.com/providers/gr/Unitel.html,,,True,Unitel (Greece),,
,Mega Cosmos,MPEG-2/SD,513.0,DVB-S,6666.0,3/4,3868 V,tp 9,0,BISS,,Mega Cosmos,https://www.lyngsat.com/tvchannels/gr/Mega-Cosmos.html,False,Unitel (Greece),Gre,gr
,[test card],MPEG-2/SD,514.0,DVB-S,6666.0,3/4,3868 V,tp 9,0,,,,,False,Unitel (Greece),,
,(feeds),,,DVB-S,3250.0,3/4,3888 H,tp 9,,,,,,False,Unitel (Greece),,
,Encadena TV,,256.0,DVB-S2,2400.0,3/4,3955 H,tp 12,0,,,,,False,Unitel (Greece),Spa,
,Radio Chetumal,,,DVB-S2,2400.0,3/4,3955 H,tp 12,0,,,Radio Chetumal,https://www.lyngsat.com/radiochannels/mx/Radio-Chetumal.html,False,Unitel (Greece),Spa,mx
,SQCS Canal 4,MPEG-2/SD,4194.0,DVB-S,2222.0,3/4,3958 H,tp 12,0,,,,,False,Unitel (Greece),Spa,
,Caribe FM,,,DVB-S,2222.0,3/4,3958 H,tp 12,0,,,Caribe FM,https://www.lyngsat.com/radiochannels/mx/Caribe-FM.html,False,Unitel (Greece),Spa,mx
,@ SkyVision,,,DVB-S,2540.0,7/8,4068 V,tp 18,41-43,,,,,False,Unitel (Greece),,
,@ Xicom,,,DVB-S2,10000.0,2/3,4083 H,tp 19,41-43,,,,,False,Unitel (Greece),,
,Antenna Group,,,DVB-S,4411.0,3/4,4176 V,tp 24,0,BISS,https://www.lyngsat.com/providers/gr/Antenna-Group.html,,,True,Antenna Group,,
,Ant1 Satellite,MPEG-2/SD,516.0,DVB-S,4411.0,3/4,4176 V,tp 24,0,BISS,,Ant1 Satellite,https://www.lyngsat.com/tvchannels/gr/Ant1-Satellite.html,False,Antenna Group,Gre,gr
,Easy 97.2,,,DVB-S,4411.0,3/4,4176 V,tp 24,0,BISS,,Easy 97.2,https://www.lyngsat.com/radiochannels/gr/Easy-972.html,False,Antenna Group,Gre,gr
,Easy 97.2,,,DVB-S,4411.0,3/4,4176 V,tp 24,0,BISS,,Easy 97.2,https://www.lyngsat.com/radiochannels/gr/Easy-972.html,False,Antenna Group,Gre,gr
,,,,,,,,,,,,DVB-S2QPSK24003/4,,False,Antenna Group,,
,,,,,,,,,,,,DVB-S22223/4,,False,Antenna Group,,
