SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,,,,DVB-S2,4580.0,2/3,3984 R,tp 20C,,Viaccess,,,,False,,,
,,0-1,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,,,False,,,
,Vía X,MPEG-4/HD,132.0,DVB-S2,4580.0,2/3,3984 R,tp 20C,,Viaccess,,Vía X,https://www.lyngsat.com/tvchannels/cl/Via-X.html,False,,Spa,cl
,Zona Latina,MPEG-4/HD,152.0,DVB-S2,4580.0,2/3,3984 R,tp 20C,,Viaccess,,Zona Latina,https://www.lyngsat.com/tvchannels/cl/Zona-Latina.html,False,,Spa,cl
1.0,Instrumental,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Instrumental,https://www.lyngsat.com/radiochannels/--/Instrumental.html,False,,,--
2.0,Clasico,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Clasico,https://www.lyngsat.com/radiochannels/--/Clasico.html,False,,,--
3.0,Latino,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Latino,https://www.lyngsat.com/radiochannels/--/Latino.html,False,,,--
4.0,Adulto,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Adulto,https://www.lyngsat.com/radiochannels/--/Adulto.html,False,,,--
5.0,Folclorico,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Folclorico,https://www.lyngsat.com/radiochannels/--/Folclorico.html,False,,,--
6.0,Juvenil,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Juvenil,https://www.lyngsat.com/radiochannels/--/Juvenil.html,False,,,--
7.0,Nueva Era,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Nueva Era,https://www.lyngsat.com/radiochannels/--/Nueva-Era.html,False,,,--
8.0,Tropical,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Tropical,https://www.lyngsat.com/radiochannels/--/Tropical.html,False,,,--
9.0,Crossover,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Crossover,https://www.lyngsat.com/radiochannels/--/Crossover.html,False,,,--
10.0,Eventos,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Eventos,https://www.lyngsat.com/radiochannels/--/Eventos.html,False,,,--
11.0,Venezolano,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Venezolano,https://www.lyngsat.com/radiochannels/--/Venezolano.html,False,,,--
12.0,Electronica,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Electronica,https://www.lyngsat.com/radiochannels/--/Electronica.html,False,,,--
15.0,Olimpica,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Olimpica,https://www.lyngsat.com/radiochannels/--/Olimpica.html,False,,,--
17.0,Instrumental Moderno,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Instrumental Moderno,https://www.lyngsat.com/radiochannels/--/Instrumental-Moderno.html,False,,,--
18.0,Cristiano,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Cristiano,https://www.lyngsat.com/radiochannels/--/Cristiano.html,False,,,--
19.0,Chillout,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Chillout,https://www.lyngsat.com/radiochannels/--/Chillout.html,False,,,--
20.0,Instrumental Exitos,,,DVB-S,2821.0,3/4,11911 V,,,Quintic,,Instrumental Exitos,https://www.lyngsat.com/radiochannels/--/Instrumental-Exitos.html,False,,,--
1.0,Canal 27 (Guatemala),177-176MPEG-2/SD,4194.0,DVB-S,3111.0,3/4,12138 H,,,,,,,False,,Spa,
,Radio Exclusiva,,,DVB-S,3111.0,3/4,12138 H,,,,,Radio Exclusiva,https://www.lyngsat.com/radiochannels/gt/Radio-Exclusiva.html,False,,Spa,gt
,,,,,,,,,,,,DVB-S31113/4,,False,,,
,,,,,,,,,,,,DVB-S31113/4,,False,,,
