SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,Anuvu,,,DVB-S2,3320.0,1/2,11564 H,tp A9,,PowerVu,https://www.lyngsat.com/providers/us/Anuvu.html,,,True,Anuvu,,
501.0,BBC News,MPEG-4/SD,4673.0,DVB-S2,3320.0,1/2,11564 H,tp A9,,PowerVu,,BBC News,https://www.lyngsat.com/tvchannels/uk/BBC-News.html,False,Anuvu,Eng,uk
502.0,TFC Middle East,MPEG-4/SD,4929.0,DVB-S2,3320.0,1/2,11564 H,tp A9,,PowerVu,,TFC Middle East,https://www.lyngsat.com/tvchannels/ph/TFC-Middle-East.html,False,Anuvu,Eng,ph
503.0,Prime World,MPEG-4/SD,5185.0,DVB-S2,3320.0,1/2,11564 H,tp A9,,PowerVu,,Prime World,https://www.lyngsat.com/tvchannels/--/Prime-World.html,False,Anuvu,,--
504.0,Sport 24,MPEG-4/SD,5441.0,DVB-S2,3320.0,1/2,11564 H,tp A9,,PowerVu,,Sport 24,https://www.lyngsat.com/tvchannels/uk/Sport-24.html,False,Anuvu,Eng,uk
,Teletrak,,,DVB-S2,5165.0,1/2,11592 V,tp 40U,,,https://www.lyngsat.com/providers/cl/Teletrak.html,,,True,Teletrak,,
1.0,Teletrak 1,MPEG-4/HD,102.0,DVB-S2,5165.0,1/2,11592 V,tp 40U,,,,Teletrak 1,https://www.lyngsat.com/tvchannels/cl/Teletrak-1.html,False,Teletrak,Spa,cl
1.0,Teletrak 1,MPEG-4/HD,102.0,DVB-S2,5165.0,1/2,11592 V,tp 40U,,,,Teletrak 1,https://www.lyngsat.com/tvchannels/cl/Teletrak-1.html,False,Teletrak,Spa,cl
2.0,Teletrak 2,MPEG-4/HD,202.0,DVB-S2,5165.0,1/2,11592 V,tp 40U,,,,Teletrak 2,https://www.lyngsat.com/tvchannels/cl/Teletrak-2.html,False,Teletrak,Spa,cl
4.0,RTP Internacional América,?-?MPEG-2/SD,256.0,DVB-S,3200.0,2/3,11870 H,,,,,,,False,Teletrak,Por,
5.0,RDP Internacional,,,DVB-S,3200.0,2/3,11870 H,,,,,RDP Internacional,https://www.lyngsat.com/radiochannels/pt/RDP-Internacional.html,False,Teletrak,Por,pt
5.0,RDP Internacional,,,DVB-S,3200.0,2/3,11870 H,,,,,RDP Internacional,https://www.lyngsat.com/radiochannels/pt/RDP-Internacional.html,False,Teletrak,Por,pt
,Unisa,,,DVB-S2,5832.0,3/4,11875 H,,,,https://www.lyngsat.com/providers/br/Unisa.html,,,True,Unisa,,
1.0,Unisa 1,MPEG-4/SD,350.0,DVB-S2,5832.0,3/4,11875 H,,,,,Unisa 1,https://www.lyngsat.com/tvchannels/br/Unisa-1.html,False,Unisa,Por,br
2.0,Unisa 2,MPEG-4/SD,450.0,DVB-S2,5832.0,3/4,11875 H,,,,,Unisa 2,https://www.lyngsat.com/tvchannels/br/Unisa-2.html,False,Unisa,Por,br
3.0,Unisa 3,MPEG-4/SD,550.0,DVB-S2,5832.0,3/4,11875 H,,,,,Unisa 3,https://www.lyngsat.com/tvchannels/br/Unisa-3.html,False,Unisa,Por,br
4.0,Unisa 4,MPEG-4/SD,650.0,DVB-S2,5832.0,3/4,11875 H,,,,,Unisa 4,https://www.lyngsat.com/tvchannels/br/Unisa-4.html,False,Unisa,Por,br
5.0,Unisa 5,MPEG-4/SD,750.0,DVB-S2,5832.0,3/4,11875 H,,,,,Unisa 5,https://www.lyngsat.com/tvchannels/br/Unisa-5.html,False,Unisa,Por,br
6.0,Unisa 6,MPEG-4/SD,850.0,DVB-S2,5832.0,3/4,11875 H,,,,,Unisa 6,https://www.lyngsat.com/tvchannels/br/Unisa-6.html,False,Unisa,Por,br
7.0,Unisa 7,MPEG-4/SD,950.0,DVB-S2,5832.0,3/4,11875 H,,,,,Unisa 7,https://www.lyngsat.com/tvchannels/br/Unisa-7.html,False,Unisa,Por,br
,(feeds),,,DVB-S,5832.0,3/4,11958 H,tp 7,,,,,,False,Unisa,,
,,,,,,,,,,,,DVB-S32002/3,,False,Unisa,,
