SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
105.0,Fox Sports 2 Argentina,MPEG-4/HD,4938.0,DVB-S2,30000,2/3,11559 H,,0.0,,,Fox Sports 2 Argentina,https://www.lyngsat.com/tvchannels/us/Fox-Sports-2-Argentina.html,,,False,,Spa,us
565.0,UCL,MPEG-4/SD,5530.0,DVB-S2,30000,2/3,11599 H,,0.0,,,UCL,https://www.lyngsat.com/tvchannels/uy/UCL.html,,,False,,Spa,uy
2.0,Somos,MPEG-4/SD,4689.0,DVB-S2,30000,2/3,11639 H,,0.0,,,Somos,https://www.lyngsat.com/tvchannels/ar/Somos.html,,,False,,Spa,ar
952.0,Radio Nacional Argentina,,,DVB-S2,30000,2/3,11639 H,,0.0,,,Radio Nacional Argentina,https://www.lyngsat.com/radiochannels/ar/Radio-Nacional-Argentina.html,,,False,,,ar
954.0,Cadena 3,,,DVB-S2,30000,2/3,11639 H,,0.0,,,Cadena 3,https://www.lyngsat.com/radiochannels/ar/Cadena-3.html,,,False,,,ar
954.0,Cadena 3,,,DVB-S2,30000,2/3,11639 H,,0.0,,,Cadena 3,https://www.lyngsat.com/radiochannels/ar/Cadena-3.html,,,False,,,ar
50.0,INTV promo,MPEG-4/HD,256.0,DVB-S2,30000,2/3,11679 H,,0.0,,,,,,,False,,Spa,
950.0,Mitre,,,DVB-S2,30000,2/3,11679 H,,0.0,,,Mitre,https://www.lyngsat.com/radiochannels/ar/Mitre.html,,,False,,Spa,ar
950.0,Mitre,,,DVB-S2,30000,2/3,11679 H,,0.0,,,Mitre,https://www.lyngsat.com/radiochannels/ar/Mitre.html,,,False,,Spa,ar
951.0,La 100,,,DVB-S2,30000,2/3,11679 H,,0.0,,,La 100,https://www.lyngsat.com/radiochannels/ar/La-100.html,,,False,,Spa,ar
951.0,La 100,,,DVB-S2,30000,2/3,11679 H,,0.0,,,La 100,https://www.lyngsat.com/radiochannels/ar/La-100.html,,,False,,Spa,ar
6028.0,América Paraguay,MPEG-4/HD,7338.0,DVB-S2,30000,1/2,11679 V,,0.0,,,América Paraguay,https://www.lyngsat.com/tvchannels/ar/America-Paraguay.html,,,False,,Spa,ar
6028.0,América Paraguay,MPEG-4/HD,7338.0,DVB-S2,30000,1/2,11679 V,,0.0,,,América Paraguay,https://www.lyngsat.com/tvchannels/ar/America-Paraguay.html,,,False,,Spa,ar
,(feeds),,,DVB-S2,30000,1/2,11738 V,,,,,,,,,False,,,
,(feeds),,,DVB-S2,30000,1/2,11746 V,,,,,,,,,False,,,
,(feeds),,,DVB-S2,30000,1/2,11750 V,,,,,,,,,False,,,
