SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
403.0,KBS 1 TV,MPEG-4/HD,1072.0,DVB-S2,23800.0,3/4,11900 L,tp 10,0.0,,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
403.0,KBS 1 TV,MPEG-4/HD,1072.0,DVB-S2,23800.0,3/4,11900 L,tp 10,0.0,,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
403.0,KBS 1 TV,MPEG-4/HD,1072.0,DVB-S2,23800.0,3/4,11900 L,tp 10,0.0,,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
1.0,KBS 1 TV,MPEG-4/HD,101.0,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
1.0,KBS 1 TV,MPEG-4/HD,101.0,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
1.0,KBS 1 TV,MPEG-4/HD,101.0,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
10.0,KBS 1 TV,MPEG-2/SD,1391.0,DVB-S,26700.0,7/8,12670 V,tp CS21,0.0,Codicrypt,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
10.0,KBS 1 TV,MPEG-2/SD,1391.0,DVB-S,26700.0,7/8,12670 V,tp CS21,0.0,Codicrypt,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
10.0,KBS 1 TV,MPEG-2/SD,1391.0,DVB-S,26700.0,7/8,12670 V,tp CS21,0.0,Codicrypt,,KBS 1 TV,https://www.lyngsat.com/tvchannels/kr/KBS-1-TV.html,,,False,,Kor,kr
521.0,Latest popular song,,,DVB-S2,23800.0,5/6,11938 L,tp 12,0.0,,,Latest popular song,https://www.lyngsat.com/radiochannels/kr/Latest-popular-song.html,,,False,,Kor,kr
522.0,Is it popular?,,,DVB-S2,23800.0,5/6,11938 L,tp 12,0.0,,,Is it popular?,https://www.lyngsat.com/radiochannels/kr/Is-it-popular.html,,,False,,Kor,kr
523.0,Old Pop Song of Memories,,,DVB-S2,23800.0,5/6,11938 L,tp 12,0.0,,,Old Pop Song of Memories,https://www.lyngsat.com/radiochannels/kr/Old-Pop-Song-of-Memories.html,,,False,,Eng,kr
524.0,EQ songs with mom,,,DVB-S2,23800.0,5/6,11938 L,tp 12,0.0,,,EQ songs with mom,https://www.lyngsat.com/radiochannels/kr/EQ-songs-with-mom.html,,,False,,Kor,kr
,,4369-1,,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,,,,,False,,,
,,4369-1,,DVB-S,26700.0,7/8,12670 V,tp CS21,0.0,Codicrypt,,,,,,False,,,
508.0,Ch W,MPEG-2/SD,1871.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,Ch W,https://www.lyngsat.com/tvchannels/kr/Ch-W.html,,,False,,Kor,kr
801.0,JEI Talent TV,MPEG-2/SD,784.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,JEI Talent TV,https://www.lyngsat.com/tvchannels/kr/JEI-Talent-TV.html,,,False,,Kor,kr
803.0,MTN,MPEG-2/SD,912.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,MTN,https://www.lyngsat.com/tvchannels/kr/MTN.html,,,False,,Kor,kr
805.0,JTBC Golf,MPEG-2/SD,1040.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,JTBC Golf,https://www.lyngsat.com/tvchannels/kr/JTBC-Golf.html,,,False,,Kor,kr
806.0,Arirang Korea,MPEG-2/SD,1168.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,Arirang Korea,https://www.lyngsat.com/tvchannels/kr/Arirang-Korea.html,,,False,,Eng,kr
806.0,Arirang Korea,MPEG-2/SD,1168.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,Arirang Korea,https://www.lyngsat.com/tvchannels/kr/Arirang-Korea.html,,,False,,Eng,kr
807.0,K Shopping,MPEG-2/SD,1232.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,K Shopping,https://www.lyngsat.com/tvchannels/kr/K-Shopping.html,,,False,,Kor,kr
808.0,SBS Plus,MPEG-2/SD,1296.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,SBS Plus,https://www.lyngsat.com/tvchannels/kr/SBS-Plus.html,,,False,,Kor,kr
809.0,SBS Biz,MPEG-2/SD,1360.0,DVB-S,26700.0,7/8,12390 V,tp CS7,0.0,Codicrypt,,SBS Biz,https://www.lyngsat.com/tvchannels/kr/SBS-Biz.html,,,False,,Kor,kr
,MBN,MPEG-4/SD,308.0,DVB-S,26700.0,7/8,12406 V,tp CS7,0.0,,,,,,,False,,Kor,
,(feeds),,,DVB-S2,12300.0,3/4,12467 V,tp CS11,,,,,,,,False,,,
,(feeds),,,DVB-S,3515.0,3/4,12506 V,tp CS13,,,,,,,,False,,,
,(feeds),,,DVB-S,3515.0,3/4,12511 V,tp CS13,,,,,,,,False,,,
,(feeds),,,DVB-S,3515.0,3/4,12517 V,tp CS13,,,,,,,,False,,,
,(feeds),,,DVB-S,3515.0,3/4,12695 V,tp CS23,,,,,,,,False,,,
,(feeds),,,DVB-S,6000.0,3/4,12706 V,tp CS23,,,,,,,,False,,,
,(feeds),,,DVB-S2,5330.0,3/4,12724 V,tp CS23,,,,,,,,False,,,
1.0,Kkachi TV,?-?MPEG-2/SD,1001.0,DVB-S,8866.0,7/8,12498 V,tp CS13,0.0,,,,,,,False,,Eng,
,KBS,4369-1,,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,https://www.lyngsat.com/providers/kr/KBS.html,,,,,True,KBS,,
2.0,KBS 2 TV,MPEG-4/HD,201.0,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS 2 TV,https://www.lyngsat.com/tvchannels/kr/KBS-2-TV.html,,,False,KBS,Kor,kr
1.0,KBS 1 Radio,,,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS 1 Radio,https://www.lyngsat.com/radiochannels/kr/KBS-1-Radio.html,,,False,KBS,Kor,kr
1.0,KBS 1 Radio,,,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS 1 Radio,https://www.lyngsat.com/radiochannels/kr/KBS-1-Radio.html,,,False,KBS,Kor,kr
1.0,KBS Classic FM,,,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS Classic FM,https://www.lyngsat.com/radiochannels/kr/KBS-Classic-FM.html,,,False,KBS,Kor,kr
1.0,KBS Classic FM,,,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS Classic FM,https://www.lyngsat.com/radiochannels/kr/KBS-Classic-FM.html,,,False,KBS,Kor,kr
2.0,KBS Happy FM,,,DVB-S2,7900.0,5/6,12523 V,tp CS13,0.0,,,KBS Happy FM,https://www.lyngsat.com/radiochannels/kr/KBS-Happy-FM.html,,,False,KBS,Kor,kr
