SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
1001.0,MNB,MPEG-4/HD,1001.0,DVB-S2,43200.0,5/6,11493 V,,,,,MNB,https://www.lyngsat.com/tvchannels/mn/MNB.html,,,False,,Mon,mn
1001.0,MNB,MPEG-4/HD,1001.0,DVB-S2,43200.0,5/6,11493 V,,,,,MNB,https://www.lyngsat.com/tvchannels/mn/MNB.html,,,False,,Mon,mn
1036.0,BBS TV (Mongolia),MPEG-4/SD,4220.0,DVB-S2,43200.0,5/6,11493 V,,,,,BBS TV (Mongolia),https://www.lyngsat.com/tvchannels/mn/BBS-TV.html,,,False,,Mon,mn
,(feeds),,,DVB-S2,1020.0,3/5,12303 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,1100.0,5/6,12306 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,1000.0,5/6,12311 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,1030.0,5/6,12312 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,1060.0,5/6,12315 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,2000.0,3/4,12317 H,,,,,,,,,False,,,
,(feeds),,,DVB-S2,4500.0,5/6,12383 H,,,BISS,,,,,,False,,,
1.0,G Sat promo,MPEG-4/SD,1001.0,DVB-S2,30000.0,3/4,12310 V,,0.0,,,,,,,False,,Tgl,
2.0,One Media Network,MPEG-4/SD,1006.0,DVB-S2,30000.0,3/4,12310 V,,0.0,,,One Media Network,https://www.lyngsat.com/tvchannels/ph/One-Media-Network.html,,,False,,Eng,ph
,(LG feeds),,,DVB-S,3333.0,5/6,12354 H,,,BISS,,,,,,False,,,
,(MBN feeds),,,DVB-S2,4400.0,3/4,12359 H,,,,,,,,,False,,,
,(MBN feeds),,,DVB-S2,4400.0,3/4,12623 H,,,,,,,,,False,,,
,American Forces Network,,,DVB-S2,30000.0,2/3,12470 V,,0.0,"PowerVu,Verimatrix",https://www.lyngsat.com/providers/us/American-Forces-Network.html,,,,,True,American Forces Network,,
,American Forces Network,,,DVB-S2,30000.0,2/3,12470 V,,0.0,"PowerVu,Verimatrix",https://www.lyngsat.com/providers/us/American-Forces-Network.html,,,,,True,American Forces Network,,
,American Forces Network,18-101,,DVB-S2,30000.0,2/3,12590 V,,0.0,"PowerVu,Verimatrix",https://www.lyngsat.com/providers/us/American-Forces-Network.html,,,,,True,American Forces Network,,
,American Forces Network,18-101,,DVB-S2,30000.0,2/3,12590 V,,0.0,"PowerVu,Verimatrix",https://www.lyngsat.com/providers/us/American-Forces-Network.html,,,,,True,American Forces Network,,
2.0,AFN Prime Atlantic,MPEG-4/HD,1260.0,DVB-S2,30000.0,2/3,12470 V,,0.0,"PowerVu,Verimatrix",,AFN Prime Atlantic,https://www.lyngsat.com/tvchannels/us/AFN-Prime-Atlantic.html,,,False,American Forces Network,Eng,us
2.0,AFN Prime Atlantic,MPEG-4/HD,1260.0,DVB-S2,30000.0,2/3,12470 V,,0.0,"PowerVu,Verimatrix",,AFN Prime Atlantic,https://www.lyngsat.com/tvchannels/us/AFN-Prime-Atlantic.html,,,False,American Forces Network,Eng,us
2.0,AFN Prime Atlantic,MPEG-4/HD,1260.0,DVB-S2,30000.0,2/3,12590 V,,0.0,"PowerVu,Verimatrix",,AFN Prime Atlantic,https://www.lyngsat.com/tvchannels/us/AFN-Prime-Atlantic.html,,,False,American Forces Network,Eng,us
