SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,MySat,,,DVB-S2,28800,2/3,11003 H,,,,https://www.lyngsat.com/providers/au/MySat.html,,,True,MySat,,
1.0,Rai Italia Australia,MPEG-4/SD,412.0,DVB-S2,28800,2/3,11003 H,,,,,Rai Italia Australia,https://www.lyngsat.com/tvchannels/it/Rai-Italia-Australia.html,False,MySat,Ita,it
4.0,Mediaset Italia,MPEG-4/SD,427.0,DVB-S2,28800,2/3,11003 H,,,,,Mediaset Italia,https://www.lyngsat.com/tvchannels/it/Mediaset-Italia.html,False,MySat,Ita,it
15.0,Alpha Sat,MPEG-4/SD,457.0,DVB-S2,28800,2/3,11003 H,,,,,Alpha Sat,https://www.lyngsat.com/tvchannels/gr/Alpha-Sat.html,False,MySat,Gre,gr
16.0,ERT World,MPEG-4/SD,462.0,DVB-S2,28800,2/3,11003 H,,,,,ERT World,https://www.lyngsat.com/tvchannels/gr/ERT-World.html,False,MySat,Gre,gr
18.0,Ant1 Pacific,MPEG-4/SD,442.0,DVB-S2,28800,2/3,11003 H,,,,,Ant1 Pacific,https://www.lyngsat.com/tvchannels/gr/Ant1-Pacific.html,False,MySat,Gre,gr
19.0,Greek Cinema,MPEG-4/SD,447.0,DVB-S2,28800,2/3,11003 H,,,,,Greek Cinema,https://www.lyngsat.com/tvchannels/us/Greek-Cinema.html,False,MySat,Gre,us
20.0,SportPlus (Greece),MPEG-4/SD,452.0,DVB-S2,28800,2/3,11003 H,,,,,SportPlus (Greece),https://www.lyngsat.com/tvchannels/gr/SportPlus.html,False,MySat,Gre,gr
140.0,Al Jadeed,MPEG-4/SD,516.0,DVB-S2,28800,2/3,11003 H,,,,,Al Jadeed,https://www.lyngsat.com/tvchannels/lb/Al-Jadeed.html,False,MySat,Ara,lb
197.0,LBC International,MPEG-4/SD,525.0,DVB-S2,28800,2/3,11003 H,,,,,LBC International,https://www.lyngsat.com/tvchannels/lb/LBC-International.html,False,MySat,Ara,lb
204.0,NourSat,MPEG-4/SD,530.0,DVB-S2,28800,2/3,11003 H,,,,,NourSat,https://www.lyngsat.com/tvchannels/lb/NourSat.html,False,MySat,Ara,lb
204.0,NourSat,MPEG-4/SD,530.0,DVB-S2,28800,2/3,11003 H,,,,,NourSat,https://www.lyngsat.com/tvchannels/lb/NourSat.html,False,MySat,Ara,lb
206.0,MBC Maser,MPEG-4/SD,532.0,DVB-S2,28800,2/3,11003 H,,,,,MBC Maser,https://www.lyngsat.com/tvchannels/sa/MBC-Maser.html,False,MySat,Ara,sa
206.0,MBC Maser,MPEG-4/SD,532.0,DVB-S2,28800,2/3,11003 H,,,,,MBC Maser,https://www.lyngsat.com/tvchannels/sa/MBC-Maser.html,False,MySat,Ara,sa
300.0,MTV (Lebanon),MPEG-4/SD,302.0,DVB-S2,28800,2/3,11003 H,,,,,MTV (Lebanon),https://www.lyngsat.com/tvchannels/lb/MTV.html,False,MySat,Ara,lb
389.0,Aljazeera Channel,MPEG-4/SD,562.0,DVB-S2,28800,2/3,11003 H,,,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,False,MySat,Ara,qa
389.0,Aljazeera Channel,MPEG-4/SD,562.0,DVB-S2,28800,2/3,11003 H,,,,,Aljazeera Channel,https://www.lyngsat.com/tvchannels/qa/Aljazeera-Channel.html,False,MySat,Ara,qa
,(feeds),,,DVB-S2,7500,5/6,11061 H,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11061 V,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11078 H,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11079 V,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11087 H,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11131 V,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11251 V,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11274 H,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11283 H,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,11292 H,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,3/4,11301 H,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,3/4,11340 H,,,,,,,False,MySat,,
,(feeds),,,DVB-S2,7500,5/6,12274 H,,,,,,,False,MySat,,
