SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country
21.0,Sun Direct promo,MPEG-4/SD,94.0,DVB-S,30000,5/6,12316 H,tp 14KH,,,,,,,,False,,,
44.0,On Channel,MPEG-4/SD,1794.0,DVB-S2,31000,2/3,12563 H,,,,,On Channel,https://www.lyngsat.com/tvchannels/id/On-Channel.html,,,False,,Ind,id
1204.0,Dunia Lain,MPEG-4/SD,211.0,DVB-S2,30000,3/5,12603 V,,,,,Dunia Lain,https://www.lyngsat.com/tvchannels/id/Dunia-Lain.html,,,False,,Ind,id
1205.0,Eat N Go,MPEG-4/HD,215.0,DVB-S2,30000,3/5,12603 V,,,,,Eat N Go,https://www.lyngsat.com/tvchannels/id/Eat-N-Go.html,,,False,,Ind,id
1211.0,Bioskop Indonesia,MPEG-4/SD,232.0,DVB-S2,30000,3/5,12603 V,,,,,Bioskop Indonesia,https://www.lyngsat.com/tvchannels/id/Bioskop-Indonesia.html,,,False,,Ind,id
1212.0,!nsert,MPEG-4/SD,235.0,DVB-S2,30000,3/5,12603 V,,,,,!nsert,https://www.lyngsat.com/tvchannels/id/nsert.html,,,False,,Ind,id
1214.0,Khazanah,MPEG-4/SD,241.0,DVB-S2,30000,3/5,12603 V,,,,,Khazanah,https://www.lyngsat.com/tvchannels/id/Khazanah.html,,,False,,Ind,id
1215.0,Dunia Anak,MPEG-4/SD,244.0,DVB-S2,30000,3/5,12603 V,,,,,Dunia Anak,https://www.lyngsat.com/tvchannels/id/Dunia-Anak.html,,,False,,Ind,id
1240.0,Lingua Channel,MPEG-4/SD,482.0,DVB-S2,30000,3/5,12603 V,,,,,Lingua Channel,https://www.lyngsat.com/tvchannels/id/Lingua-Channel.html,,,False,,Ind,id
1404.0,Al-Bahjah TV,MPEG-4/HD,705.0,DVB-S2,30000,3/5,12603 V,,,,,Al-Bahjah TV,https://www.lyngsat.com/tvchannels/id/Al-Bahjah-TV.html,,,False,,Ind,id
1406.0,Riau TV,MPEG-4/SD,702.0,DVB-S2,30000,3/5,12603 V,,,,,Riau TV,https://www.lyngsat.com/tvchannels/id/Riau-TV.html,,,False,,Ind,id
1406.0,Riau TV,MPEG-4/SD,702.0,DVB-S2,30000,3/5,12603 V,,,,,Riau TV,https://www.lyngsat.com/tvchannels/id/Riau-TV.html,,,False,,Ind,id
1405.0,Nabawi TV,MPEG-4/HD,714.0,DVB-S2,30000,3/5,12603 H,,,,,Nabawi TV,https://www.lyngsat.com/tvchannels/jo/Nabawi-TV.html,,,False,,Ind,jo
1407.0,Al Wafa Tarim,MPEG-4/SD,762.0,DVB-S2,30000,3/5,12603 H,,,,,Al Wafa Tarim,https://www.lyngsat.com/tvchannels/id/Al-Wafa-Tarim.html,,,False,,Ind,id
1407.0,Al Wafa Tarim,MPEG-4/SD,762.0,DVB-S2,30000,3/5,12603 H,,,,,Al Wafa Tarim,https://www.lyngsat.com/tvchannels/id/Al-Wafa-Tarim.html,,,False,,Ind,id
1605.0,Musik Indonesia,MPEG-4/HD,614.0,DVB-S2,30000,3/5,12603 H,,,,,Musik Indonesia,https://www.lyngsat.com/tvchannels/id/Musik-Indonesia.html,,,False,,Ind,id
1340.0,Maleo,MPEG-4/SD,882.0,DVB-S2,30000,3/5,12643 V,,,,,Maleo,https://www.lyngsat.com/tvchannels/id/Maleo.html,,,False,,Ind,id
1410.0,GPR TV,MPEG-4/SD,773.0,DVB-S2,30000,3/5,12643 V,,,,,GPR TV,https://www.lyngsat.com/tvchannels/id/GPR-TV.html,,,False,,Ind,id
307.0,Rajawali TV,MPEG-4/SD,5383.0,DVB-S2,31000,2/3,12643 H,,,,,Rajawali TV,https://www.lyngsat.com/tvchannels/id/Rajawali-TV.html,,,False,,Ind,id
312.0,TVRI Nasional,MPEG-4/SD,5394.0,DVB-S2,31000,2/3,12643 H,,,,,TVRI Nasional,https://www.lyngsat.com/tvchannels/id/TVRI-Nasional.html,,,False,,Ind,id
312.0,TVRI Nasional,MPEG-4/SD,5394.0,DVB-S2,31000,2/3,12643 H,,,,,TVRI Nasional,https://www.lyngsat.com/tvchannels/id/TVRI-Nasional.html,,,False,,Ind,id
314.0,Bali TV,MPEG-4/SD,5396.0,DVB-S2,31000,2/3,12643 H,,,,,Bali TV,https://www.lyngsat.com/tvchannels/id/Bali-TV.html,,,False,,Ind,id
315.0,JTV (Indonesia),MPEG-4/SD,5397.0,DVB-S2,31000,2/3,12643 H,,,,,JTV (Indonesia),https://www.lyngsat.com/tvchannels/id/JTV.html,,,False,,Ind,id
315.0,JTV (Indonesia),MPEG-4/SD,5397.0,DVB-S2,31000,2/3,12643 H,,,,,JTV (Indonesia),https://www.lyngsat.com/tvchannels/id/JTV.html,,,False,,Ind,id
316.0,Da Ai TV Indonesia,MPEG-4/SD,5398.0,DVB-S2,31000,2/3,12643 H,,,,,Da Ai TV Indonesia,https://www.lyngsat.com/tvchannels/tw/Da-Ai-TV-Indonesia.html,,,False,,Ind,tw
316.0,Da Ai TV Indonesia,MPEG-4/SD,5398.0,DVB-S2,31000,2/3,12643 H,,,,,Da Ai TV Indonesia,https://www.lyngsat.com/tvchannels/tw/Da-Ai-TV-Indonesia.html,,,False,,Ind,tw
319.0,TV Mu,MPEG-4/SD,5401.0,DVB-S2,31000,2/3,12643 H,,,,,TV Mu,https://www.lyngsat.com/tvchannels/id/TV-Mu.html,,,False,,Ind,id
319.0,TV Mu,MPEG-4/SD,5401.0,DVB-S2,31000,2/3,12643 H,,,,,TV Mu,https://www.lyngsat.com/tvchannels/id/TV-Mu.html,,,False,,Ind,id
320.0,TV 9 Nusantara,MPEG-4/SD,5408.0,DVB-S2,31000,2/3,12643 H,,,,,TV 9 Nusantara,https://www.lyngsat.com/tvchannels/id/TV-9-Nusantara.html,,,False,,Ind,id
320.0,TV 9 Nusantara,MPEG-4/SD,5408.0,DVB-S2,31000,2/3,12643 H,,,,,TV 9 Nusantara,https://www.lyngsat.com/tvchannels/id/TV-9-Nusantara.html,,,False,,Ind,id
325.0,Quran TV (Saudi Arabia),MPEG-4/SD,5413.0,DVB-S2,31000,2/3,12643 H,,,,,Quran TV (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/Quran-TV.html,,,False,,Ara,sa
325.0,Quran TV (Saudi Arabia),MPEG-4/SD,5413.0,DVB-S2,31000,2/3,12643 H,,,,,Quran TV (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/Quran-TV.html,,,False,,Ara,sa
