SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
,Azercosmos,116-777,,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,https://www.lyngsat.com/providers/az/Azercosmos.html,,,,,True,Azercosmos,,,az
33.0,Perviy kanal Europa,MPEG-4/SD,33.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Perviy kanal Europa,https://www.lyngsat.com/tvchannels/ru/Perviy-kanal-Europa.html,,,False,Azercosmos,Rus,ru,
33.0,Perviy kanal Europa,MPEG-4/SD,33.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Perviy kanal Europa,https://www.lyngsat.com/tvchannels/ru/Perviy-kanal-Europa.html,,,False,Azercosmos,Rus,ru,
440.0,Bober International,MPEG-4/SD,441.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Bober International,https://www.lyngsat.com/tvchannels/ru/Bober-International.html,,,False,Azercosmos,Rus,ru,
450.0,Dom Kino Premium International,MPEG-4/SD,451.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Dom Kino Premium International,https://www.lyngsat.com/tvchannels/ru/Dom-Kino-Premium-International.html,,,False,Azercosmos,Rus,ru,
460.0,Dom Kino International,MPEG-4/SD,461.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Dom Kino International,https://www.lyngsat.com/tvchannels/ru/Dom-Kino-International.html,,,False,Azercosmos,Rus,ru,
470.0,Karusel International,MPEG-4/SD,471.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Karusel International,https://www.lyngsat.com/tvchannels/ru/Karusel-International.html,,,False,Azercosmos,Rus,ru,
520.0,Muzika Pervogo International,MPEG-4/SD,521.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Muzika Pervogo International,https://www.lyngsat.com/tvchannels/ru/Muzika-Pervogo-International.html,,,False,Azercosmos,Rus,ru,
550.0,Telekanal O! International,MPEG-4/SD,551.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Telekanal O! International,https://www.lyngsat.com/tvchannels/ru/Telekanal-O-International.html,,,False,Azercosmos,Rus,ru,
600.0,Perviy kanal CIS,MPEG-4/SD,601.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Perviy kanal CIS,https://www.lyngsat.com/tvchannels/ru/Perviy-kanal-CIS.html,,,False,Azercosmos,Rus,ru,
630.0,Pobeda International,MPEG-4/SD,631.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Pobeda International,https://www.lyngsat.com/tvchannels/ru/Pobeda-International.html,,,False,Azercosmos,Rus,ru,
630.0,Pobeda International,MPEG-4/SD,631.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Pobeda International,https://www.lyngsat.com/tvchannels/ru/Pobeda-International.html,,,False,Azercosmos,Rus,ru,
640.0,Poehali! International,MPEG-4/SD,641.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Poehali! International,https://www.lyngsat.com/tvchannels/ru/Poehali-International.html,,,False,Azercosmos,Rus,ru,
650.0,Telecafé International,MPEG-4/SD,651.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Telecafé International,https://www.lyngsat.com/tvchannels/ru/Telecafe-International.html,,,False,Azercosmos,Rus,ru,
700.0,Vremya International,MPEG-4/SD,701.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Vremya International,https://www.lyngsat.com/tvchannels/ru/Vremya-International.html,,,False,Azercosmos,Rus,ru,
880.0,Lapki Live International,MPEG-4/SD,881.0,DVB-S2,19000.0,5/6,11469 H,,0,Irdeto,,Lapki Live International,https://www.lyngsat.com/tvchannels/ru/Lapki-Live-International.html,,,False,Azercosmos,Rus,ru,
5001.0,TV 1 (Bulgaria),MPEG-4/SD,5101.0,DVB-S2,30000.0,5/6,11475 V,,49.6-51.6,,,TV 1 (Bulgaria),https://www.lyngsat.com/tvchannels/bg/TV-1.html,,,False,Azercosmos,Bul,bg,
5001.0,TV 1 (Bulgaria),MPEG-4/SD,5101.0,DVB-S2,30000.0,5/6,11475 V,,49.6-51.6,,,TV 1 (Bulgaria),https://www.lyngsat.com/tvchannels/bg/TV-1.html,,,False,Azercosmos,Bul,bg,
5014.0,Freedom,MPEG-4/SD,5114.0,DVB-S2,30000.0,5/6,11475 V,,49.6-51.6,,,Freedom,https://www.lyngsat.com/tvchannels/ua/Freedom.html,,,False,Azercosmos,Rus,ua,
5014.0,Freedom,MPEG-4/SD,5114.0,DVB-S2,30000.0,5/6,11475 V,,49.6-51.6,,,Freedom,https://www.lyngsat.com/tvchannels/ua/Freedom.html,,,False,Azercosmos,Rus,ua,
5034.0,TV5Monde Europe,MPEG-4/SD,5134.0,DVB-S2,30000.0,5/6,11475 V,,49.6-51.6,,,TV5Monde Europe,https://www.lyngsat.com/tvchannels/fr/TV5Monde-Europe.html,,,False,Azercosmos,Fre,fr,
8.0,City TV (Bulgaria),MPEG-4/SD,59.0,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,City TV (Bulgaria),https://www.lyngsat.com/tvchannels/bg/City-TV.html,,,False,Azercosmos,Bul,bg,
8.0,City TV (Bulgaria),MPEG-4/SD,59.0,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,City TV (Bulgaria),https://www.lyngsat.com/tvchannels/bg/City-TV.html,,,False,Azercosmos,Bul,bg,
33.0,BNT 4,MPEG-2/SD,165.0,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,BNT 4,https://www.lyngsat.com/tvchannels/bg/BNT-4.html,,,False,Azercosmos,Bul,bg,
33.0,BNT 4,MPEG-2/SD,165.0,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,BNT 4,https://www.lyngsat.com/tvchannels/bg/BNT-4.html,,,False,Azercosmos,Bul,bg,
41.0,Plovdivska Pravoslavna TV,MPEG-2/SD,174.0,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,Plovdivska Pravoslavna TV,https://www.lyngsat.com/tvchannels/bg/Plovdivska-Pravoslavna-TV.html,,,False,Azercosmos,Bul,bg,
41.0,Plovdivska Pravoslavna TV,MPEG-2/SD,174.0,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,Plovdivska Pravoslavna TV,https://www.lyngsat.com/tvchannels/bg/Plovdivska-Pravoslavna-TV.html,,,False,Azercosmos,Bul,bg,
100.0,France 24 Français,MPEG-4/SD,400.0,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,France 24 Français,https://www.lyngsat.com/tvchannels/fr/France-24-Francais.html,,,False,Azercosmos,Fre,fr,
100.0,France 24 Français,MPEG-4/SD,400.0,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,France 24 Français,https://www.lyngsat.com/tvchannels/fr/France-24-Francais.html,,,False,Azercosmos,Fre,fr,
9.0,Radio 1 (Bulgaria),,,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,Radio 1 (Bulgaria),https://www.lyngsat.com/radiochannels/bg/Radio-1.html,,,False,Azercosmos,Bul,bg,
9.0,Radio 1 (Bulgaria),,,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,Radio 1 (Bulgaria),https://www.lyngsat.com/radiochannels/bg/Radio-1.html,,,False,Azercosmos,Bul,bg,
10.0,BG Radio,,,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,BG Radio,https://www.lyngsat.com/radiochannels/bg/BG-Radio.html,,,False,Azercosmos,Bul,bg,
10.0,BG Radio,,,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,BG Radio,https://www.lyngsat.com/radiochannels/bg/BG-Radio.html,,,False,Azercosmos,Bul,bg,
11.0,Radio City (Bulgaria),,,DVB-S2,30000.0,5/6,11555 V,,49.6-51.6,,,Radio City (Bulgaria),https://www.lyngsat.com/radiochannels/bg/Radio-City.html,,,False,Azercosmos,Bul,bg,
