SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
,(feeds),,,DVB-S2,8000.0,1/2,10958 H,,,,,,,False,,,,
,(feeds),,,DVB-S2,7833.0,1/2,10971 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11000 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11022 V,,,,,,,False,,,,
,(feeds),,,DVB-S,2500.0,5/6,11038 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2000.0,2/3,11068 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11078 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2900.0,5/6,11097 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,3/4,11103 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2000.0,3/4,11113 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,4167.0,3/4,11114 H,,,,,,,False,,,,
,(feeds),,,DVB-S2,1660.0,3/4,11115 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,3333.0,5/6,11118 H,,,,,,,False,,,,
,(feeds),,,DVB-S2,5000.0,3/4,11126 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,4167.0,5/6,11142 H,,,,,,,False,,,,
,(feeds),,,DVB-S2,2740.0,5/6,11152 H,,,,,,,False,,,,
,(feeds),,,DVB-S2,6666.0,3/4,11155 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,5480.0,5/6,11157 H,,,,,,,False,,,,
,(feeds),,,DVB-S2,6666.0,3/4,11163 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,5480.0,5/6,11168 H,,,,,,,False,,,,
,(feeds),,,DVB-S2,6666.0,3/4,11180 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,9875.0,3/4,11182 H,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,5/6,11185 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2400.0,5/6,11189 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,6666.0,3/4,11671 V,,,,,,,False,,,,
,(feeds),,,DVB-S2,2500.0,3/4,11683 V,,,,,,,False,,,,
,(feeds),,,DVB-S,2100.0,3/4,11686 V,,,,,,,False,,,,
,Sharjah Broadcasting Authority,,,DVB-S,27500.0,5/6,11590 V,,,,https://www.lyngsat.com/providers/ae/Sharjah-Broadcasting-Authority.html,,,True,Sharjah Broadcasting Authority,,,ae
1.0,Sharjah TV,MPEG-4/HD,100.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah TV,https://www.lyngsat.com/tvchannels/ae/Sharjah-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
1.0,Sharjah TV,MPEG-4/HD,100.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah TV,https://www.lyngsat.com/tvchannels/ae/Sharjah-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
1.0,Sharjah TV,MPEG-4/HD,100.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah TV,https://www.lyngsat.com/tvchannels/ae/Sharjah-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
1.0,Sharjah TV,MPEG-4/HD,100.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah TV,https://www.lyngsat.com/tvchannels/ae/Sharjah-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
2.0,Sharjah TV,MPEG-2/SD,310.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah TV,https://www.lyngsat.com/tvchannels/ae/Sharjah-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
2.0,Sharjah TV,MPEG-2/SD,310.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah TV,https://www.lyngsat.com/tvchannels/ae/Sharjah-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
2.0,Sharjah TV,MPEG-2/SD,310.0,DVB-S,27500.0,5/6,11590 V,,,,,Sharjah TV,https://www.lyngsat.com/tvchannels/ae/Sharjah-TV.html,False,Sharjah Broadcasting Authority,Ara,ae,
