SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
481.0,Loveworld XP,2710-257MPEG-4/HD,481.0,DVB-S2,1650.0,5/6,3836 R,,42-43,,,,,False,,Eng,,
,Ugandan mux,,,DVB-S2,9170.0,3/4,3850 L,,42-43,,,,,False,,,,
350.0,UBC TV,MPEG-4/SD,3502.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,UBC TV,https://www.lyngsat.com/tvchannels/ug/UBC-TV.html,False,,,ug,
351.0,NTV Uganda,MPEG-4/SD,3512.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,NTV Uganda,https://www.lyngsat.com/tvchannels/ke/NTV-Uganda.html,False,,Eng,ke,
352.0,NBS TV,MPEG-4/SD,3522.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,NBS TV,https://www.lyngsat.com/tvchannels/ug/NBS-TV.html,False,,Swa,ug,
353.0,Bukedde 1,MPEG-4/SD,3532.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Bukedde 1,https://www.lyngsat.com/tvchannels/ug/Bukedde-1.html,False,,,ug,
353.0,Bukedde 1,MPEG-4/SD,3532.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Bukedde 1,https://www.lyngsat.com/tvchannels/ug/Bukedde-1.html,False,,,ug,
355.0,BBS TV,MPEG-4/SD,3552.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,BBS TV,https://www.lyngsat.com/tvchannels/ug/BBS-TV.html,False,,Swa,ug,
358.0,Spark TV,MPEG-4/SD,3582.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Spark TV,https://www.lyngsat.com/tvchannels/ug/Spark-TV.html,False,,Eng,ug,
359.0,Salt TV,MPEG-4/SD,3592.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Salt TV,https://www.lyngsat.com/tvchannels/ug/Salt-TV.html,False,,Eng,ug,
360.0,Channel 44,MPEG-4/SD,3602.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Channel 44,https://www.lyngsat.com/tvchannels/ug/Channel-44.html,False,,Eng,ug,
361.0,Top TV (Uganda),MPEG-4/SD,3612.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Top TV (Uganda),https://www.lyngsat.com/tvchannels/ug/Top-TV.html,False,,Eng,ug,
362.0,Chamuka TV,MPEG-4/SD,3622.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Chamuka TV,https://www.lyngsat.com/tvchannels/ug/Chamuka-TV.html,False,,Eng,ug,
363.0,Kingdom TV (Uganda),MPEG-4/SD,3632.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Kingdom TV (Uganda),https://www.lyngsat.com/tvchannels/ug/Kingdom-TV.html,False,,Eng,ug,
364.0,King Solomon TV,MPEG-4/SD,3642.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,King Solomon TV,https://www.lyngsat.com/tvchannels/ug/King-Solomon-TV.html,False,,Eng,ug,
364.0,King Solomon TV,MPEG-4/SD,3642.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,King Solomon TV,https://www.lyngsat.com/tvchannels/ug/King-Solomon-TV.html,False,,Eng,ug,
365.0,Baba TV,MPEG-4/SD,3652.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,Baba TV,https://www.lyngsat.com/tvchannels/ug/Baba-TV.html,False,,Eng,ug,
366.0,KBS TV,MPEG-4/SD,3662.0,DVB-S2,9170.0,3/4,3850 L,,42-43,,,KBS TV,https://www.lyngsat.com/tvchannels/ug/KBS-TV.html,False,,Eng,ug,
,Burundi mux,136-3,,DVB-S2,4680.0,3/4,3852 R,,42-43,,,,,False,,,,
1.0,RTNB TV,MPEG-4/SD,102.0,DVB-S2,4680.0,3/4,3852 R,,42-43,,,RTNB TV,https://www.lyngsat.com/tvchannels/bi/RTNB-TV.html,False,,Fre,bi,
2.0,BETV,MPEG-4/SD,256.0,DVB-S2,4680.0,3/4,3852 R,,42-43,,,BETV,https://www.lyngsat.com/tvchannels/bi/BETV.html,False,,Fre,bi,
4.0,Buntu TV,MPEG-4/SD,100.0,DVB-S2,4680.0,3/4,3852 R,,42-43,,,Buntu TV,https://www.lyngsat.com/tvchannels/bi/Buntu-TV.html,False,,Fre,bi,
5.0,RTI,MPEG-4/SD,29.0,DVB-S2,4680.0,3/4,3852 R,,42-43,,,RTI,https://www.lyngsat.com/tvchannels/bi/RTI.html,False,,Run,bi,
6.0,Mashariki TV,MPEG-4/SD,32.0,DVB-S2,4680.0,3/4,3852 R,,42-43,,,Mashariki TV,https://www.lyngsat.com/tvchannels/bi/Mashariki-TV.html,False,,Run,bi,
1.0,Télé Tchad,0-0MPEG-4/HD,4212.0,DVB-S2,4042.0,2/3,3861 R,,42-43,,,,,False,,Fre,,
1.0,Radio Tchad,,,DVB-S2,4042.0,2/3,3861 R,,42-43,,,Radio Tchad,https://www.lyngsat.com/radiochannels/td/Radio-Tchad.html,False,,Fre,td,
,Rwanda TV,1000-1,,DVB-S2,3333.0,2/3,3869 R,,42-43,,https://www.lyngsat.com/providers/rw/Rwanda-TV.html,Rwanda TV,https://www.lyngsat.com/tvchannels/rw/Rwanda-TV.html,True,Rwanda TV,,rw,rw
,Rwanda TV,1000-1,,DVB-S2,3333.0,2/3,3869 R,,42-43,,https://www.lyngsat.com/providers/rw/Rwanda-TV.html,Rwanda TV,https://www.lyngsat.com/tvchannels/rw/Rwanda-TV.html,True,Rwanda TV,,rw,rw
1.0,Rwanda TV,MPEG-2/SD,101.0,DVB-S2,3333.0,2/3,3869 R,,42-43,,https://www.lyngsat.com/providers/rw/Rwanda-TV.html,Rwanda TV,https://www.lyngsat.com/tvchannels/rw/Rwanda-TV.html,True,Rwanda TV,Eng,rw,rw
1.0,Rwanda TV,MPEG-2/SD,101.0,DVB-S2,3333.0,2/3,3869 R,,42-43,,https://www.lyngsat.com/providers/rw/Rwanda-TV.html,Rwanda TV,https://www.lyngsat.com/tvchannels/rw/Rwanda-TV.html,True,Rwanda TV,Eng,rw,rw
2.0,KC2,MPEG-2/SD,102.0,DVB-S2,3333.0,2/3,3869 R,,42-43,,,KC2,https://www.lyngsat.com/tvchannels/rw/KC2.html,False,Rwanda TV,Eng,rw,
2.0,KC2,MPEG-2/SD,102.0,DVB-S2,3333.0,2/3,3869 R,,42-43,,,KC2,https://www.lyngsat.com/tvchannels/rw/KC2.html,False,Rwanda TV,Eng,rw,
1.0,Radio Rwanda,,,DVB-S2,3333.0,2/3,3869 R,,42-43,,,Radio Rwanda,https://www.lyngsat.com/radiochannels/rw/Radio-Rwanda.html,False,Rwanda TV,Eng,rw,
1.0,Radio Rwanda,,,DVB-S2,3333.0,2/3,3869 R,,42-43,,,Radio Rwanda,https://www.lyngsat.com/radiochannels/rw/Radio-Rwanda.html,False,Rwanda TV,Eng,rw,
,(Deeper Christian Life Ministry feeds),,,DVB-S2,2080.0,3/4,3874 R,,,,,,,False,Rwanda TV,,,
,(Deeper Christian Life Ministry feeds),,,DVB-S2,5415.0,3/4,4033 R,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,3750.0,3/4,3887 L,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,3750.0,3/4,3896 L,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,3750.0,5/6,3900 L,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,3750.0,5/6,3905 L,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,4040.0,2/3,3925 L,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,4040.0,2/3,3925 R,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,3750.0,5/6,4000 L,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,10719 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,10728 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,10737 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,9600.0,3/4,10744 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,9600.0,3/4,10756 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,9600.0,3/4,10768 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,9600.0,3/4,10779 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,10865 H,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,10965 H,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,10974 H,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,10988 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,10997 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,11178 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7500.0,3/4,11191 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,4822.0,3/4,11290 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,4800.0,3/4,11292 H,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,4822.0,3/4,11296 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7500.0,3/4,11299 H,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,2400.0,5/6,11303 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,4800.0,3/4,11307 H,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,4800.0,3/4,11314 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,11317 H,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,9600.0,3/4,11328 V,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,11334 H,,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,11348 H,tp C8,,,,,,False,Rwanda TV,,,
,(feeds),,,DVB-S2,7200.0,3/4,12633 V,tp F4,,,,,,False,Rwanda TV,,,
,StarTimes TV Kenya,1-4,,DVB-S2,20150.0,5/6,3898 R,,42-43,,https://www.lyngsat.com/providers/ke/StarTimes-TV-Kenya.html,,,True,StarTimes TV Kenya,,,ke
10.0,Capuchin TV,MPEG-4/SD,1251.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Capuchin TV,https://www.lyngsat.com/tvchannels/ke/Capuchin-TV.html,False,StarTimes TV Kenya,Eng,ke,
24.0,Family TV (Kenya),MPEG-4/SD,41.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Family TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Family-TV.html,False,StarTimes TV Kenya,Eng,ke,
