SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
1304.0,[Sky test card],MPEG-2/SD,516.0,DVB-S,30000,3/4,10722 V,tp B1K,,,,,,,,False,,,,
1144.0,Sound! Anos 60,,,DVB-S,30000,3/4,10722 H,tp B13K,,,,Sound! Anos 60,https://www.lyngsat.com/radiochannels/br/Sound-Anos-60.html,,,False,,Por,br,
1145.0,Sound! Românticas,,,DVB-S,30000,3/4,10722 H,tp B13K,,,,Sound! Românticas,https://www.lyngsat.com/radiochannels/br/Sound-Romanticas.html,,,False,,Por,br,
1146.0,Sound! Blues,,,DVB-S,30000,3/4,10722 H,tp B13K,,,,Sound! Blues,https://www.lyngsat.com/radiochannels/br/Sound-Blues.html,,,False,,Por,br,
5264.0,Canal do Cliente,MPEG-4/HD,4400.0,DVB-S2,30000,3/4,11010 H,tp B33K,,,,Canal do Cliente,https://www.lyngsat.com/tvchannels/br/Canal-do-Cliente.html,,,False,,Por,br,
3.0,[Sky info card],MPEG-2/SD,521.0,DVB-S,30000,2/3,11302 H,,,,,,,,,False,,,,
5.0,[test card],MPEG-2/SD,531.0,DVB-S,30000,2/3,11302 H,,,,,,,,,False,,,,
5428.0,Sky Brasil promo,,542.0,DVB-S2,30000,2/3,11422 H,,,,,,,,,False,,Por,,
5521.0,[Globoplay test card],MPEG-4/HD,4096.0,DVB-S2,30000,2/3,11590 V,,,,,,,,,False,,Por,,
5522.0,Woohoo,MPEG-4/HD,4112.0,DVB-S2,30000,2/3,11590 V,,,,,Woohoo,https://www.lyngsat.com/tvchannels/br/Woohoo.html,,,False,,Por,br,
5523.0,HGTV Brasil,MPEG-4/HD,4128.0,DVB-S2,30000,2/3,11590 V,,,,,HGTV Brasil,https://www.lyngsat.com/tvchannels/us/HGTV-Brasil.html,,,False,,Por,us,
5524.0,HBO Pop Brasil,MPEG-4/HD,4144.0,DVB-S2,30000,2/3,11590 V,,,,,HBO Pop Brasil,https://www.lyngsat.com/tvchannels/us/HBO-Pop-Brasil.html,,,False,,Por,us,
5525.0,Golf Channel Latin America,MPEG-4/HD,4160.0,DVB-S2,30000,2/3,11590 V,,,,,Golf Channel Latin America,https://www.lyngsat.com/tvchannels/us/Golf-Channel-Latin-America.html,,,False,,Por,us,
5526.0,Discovery Turbo Brasil,MPEG-4/HD,4176.0,DVB-S2,30000,2/3,11590 V,,,,,Discovery Turbo Brasil,https://www.lyngsat.com/tvchannels/us/Discovery-Turbo-Brasil.html,,,False,,Por,us,
