SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
,,,,DVB-S2,10890.0,3/5,3809 H,tp 6,0.0,,,,,False,,,,
,,,,DVB-S2,9600.0,5/6,4032 H,tp 16,0.0,PowerVu,,,,False,,,,
,,,,DVB-S,22000.0,3/4,11960 V,tp 13,0.0,,,,,False,,,,
,,,,DVB-S,21600.0,5/6,11987 V,tp 15,0.0,,,,,False,,,,
,Imagen TV,MPEG-4/HD,33.0,DVB-S2,10890.0,3/5,3809 H,tp 6,0.0,,,Imagen TV,https://www.lyngsat.com/tvchannels/mx/Imagen-TV.html,False,,Spa,mx,
,Imagen TV,MPEG-4/HD,33.0,DVB-S2,10890.0,3/5,3809 H,tp 6,0.0,,,Imagen TV,https://www.lyngsat.com/tvchannels/mx/Imagen-TV.html,False,,Spa,mx,
4.0,Excélsior TV,MPEG-2/SD,481.0,DVB-S2,10890.0,3/5,3809 H,tp 6,0.0,,,Excélsior TV,https://www.lyngsat.com/tvchannels/mx/Excelsior-TV.html,False,,Spa,mx,
1.0,TV Tabasqueña,?-?MPEG-2/HD,49.0,DVB-S2,6522.0,5/6,3861 H,tp 8,0.0,,,,,False,,Spa,,
1.0,Imagen Informativa,?-?MPEG-2/HD,481.0,DVB-S2,8400.0,3/5,3913 H,tp 10,0.0,,,,,False,,Spa,,
1.0,The CW,?-?MPEG-4/HD,162.0,DVB-S2,15000.0,5/6,4009 V,tp 15,0.0,,,,,False,,Eng,,
,(feeds),,,DVB-S,6111.0,3/4,4027 V,tp 17,,,,,,False,,,,
,(feeds),,,DVB-S,22000.0,3/4,11930 V,tp 11,,,,,,False,,,,
,(feeds),,,DVB-S,22000.0,3/4,11940 V,tp 11,,,,,,False,,,,
496.0,CBC Toronto,MPEG-4/HD,499.0,DVB-S2,9600.0,5/6,4032 H,tp 16,0.0,PowerVu,,CBC Toronto,https://www.lyngsat.com/tvchannels/ca/CBC-Toronto.html,False,,Eng,ca,
1472.0,Ici Radio Canada Télé Montréal,MPEG-4/HD,1475.0,DVB-S2,9600.0,5/6,4032 H,tp 16,0.0,PowerVu,,Ici Radio Canada Télé Montréal,https://www.lyngsat.com/tvchannels/ca/Ici-Radio-Canada-Tele-Montreal.html,False,,Fre,ca,
1776.0,Télé-Québec,MPEG-4/HD,1779.0,DVB-S2,9600.0,5/6,4032 H,tp 16,0.0,PowerVu,,Télé-Québec,https://www.lyngsat.com/tvchannels/ca/Tele-Quebec.html,False,,Fre,ca,
,(Warner Bros feeds),,,DVB-S2,4166.0,3/4,4064 H,tp 18,,,,,,False,,,,
,(CBS feeds),,,DVB-S2,34286.0,2/3,4080 V,tp 19,,,,,,False,,,,
,(ABC feeds),,,DVB-S2,30000.0,5/6,4120 V,tp 21,,,,,,False,,,,
,Televisa,,,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,https://www.lyngsat.com/providers/mx/Televisa.html,,,True,Televisa,,,mx
1.0,Las Estrellas México,HEVC/HD,2001.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Las Estrellas México,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico.html,False,Televisa,Spa,mx,
2.0,Canal 5,HEVC/HD,2002.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Canal 5,https://www.lyngsat.com/tvchannels/mx/Canal-5.html,False,Televisa,Spa,mx,
3.0,Nu9ve,HEVC/HD,2003.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Nu9ve,https://www.lyngsat.com/tvchannels/mx/Nu9ve.html,False,Televisa,Spa,mx,
4.0,Las Estrellas México +1,HEVC/HD,2004.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Las Estrellas México +1,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico--1.html,False,Televisa,Spa,mx,
5.0,Las Estrellas México +2,HEVC/HD,2005.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Las Estrellas México +2,https://www.lyngsat.com/tvchannels/mx/Las-Estrellas-Mexico--2.html,False,Televisa,Spa,mx,
6.0,Canal 5 +1,HEVC/HD,2006.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Canal 5 +1,https://www.lyngsat.com/tvchannels/mx/Canal-5--1.html,False,Televisa,Spa,mx,
7.0,Canal 5 +2,HEVC/HD,2007.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Canal 5 +2,https://www.lyngsat.com/tvchannels/mx/Canal-5--2.html,False,Televisa,Spa,mx,
8.0,Nu9ve +1,HEVC/HD,2008.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Nu9ve +1,https://www.lyngsat.com/tvchannels/mx/Nu9ve--1.html,False,Televisa,Spa,mx,
9.0,Nu9ve +2,HEVC/HD,2009.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Nu9ve +2,https://www.lyngsat.com/tvchannels/mx/Nu9ve--2.html,False,Televisa,Spa,mx,
10.0,Foro TV (Mexico),HEVC/HD,2010.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,Televisa,Spa,mx,
10.0,Foro TV (Mexico),HEVC/HD,2010.0,DVB-S2,34286.0,5/6,4140 H,tp 22,0.0,Director,,Foro TV (Mexico),https://www.lyngsat.com/tvchannels/mx/Foro-TV.html,False,Televisa,Spa,mx,
,SES,1-220,,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,https://www.lyngsat.com/providers/lu/SES.html,,,True,SES,,,lu
1.0,Hope Channel North America,MPEG-2/SD,2201.0,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Hope Channel North America,https://www.lyngsat.com/tvchannels/us/Hope-Channel-North-America.html,False,SES,Eng Eng,us,
1.0,Hope Channel North America,MPEG-2/SD,2201.0,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Hope Channel North America,https://www.lyngsat.com/tvchannels/us/Hope-Channel-North-America.html,False,SES,Eng Eng,us,
2.0,Daystar TV,MPEG-2/SD,2002.0,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Daystar TV,https://www.lyngsat.com/tvchannels/us/Daystar-TV.html,False,SES,Eng,us,
2.0,Daystar TV,MPEG-2/SD,2002.0,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Daystar TV,https://www.lyngsat.com/tvchannels/us/Daystar-TV.html,False,SES,Eng,us,
5.0,The Word Network,MPEG-2/SD,46.0,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,The Word Network,https://www.lyngsat.com/tvchannels/us/The-Word-Network.html,False,SES,Eng,us,
8.0,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),MPEG-2/SD,2008.0,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),https://www.lyngsat.com/tvchannels/hu/Duna-World.html,False,SES,Hun,hu,
8.0,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),MPEG-2/SD,2008.0,DVB-S,22000.0,3/4,11842 H,tp 6,0.0,,,Duna World (Sun 22-Sat 14 & Sat 22-Sun 14),https://www.lyngsat.com/tvchannels/hu/Duna-World.html,False,SES,Hun,hu,
