SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
,(CNN feeds),,,DVB-S2,,,11728 H,tp 1,,,,,,False,,,,
,(CNN feeds),,,DVB-S2,,,11734 H,tp 1,,,,,,False,,,,
,(CNN feeds),,,DVB-S2,4600.0,3/4,12020 V,tp 16,,,,,,False,,,,
,(CNN feeds),,,DVB-S2,4600.0,3/4,12035 V,tp 16,,,,,,False,,,,
,(feeds),,,DVB-S2,,,11815 H,tp 5,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,11904 H,tp 11,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,11917 H,tp 11,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,11923 H,tp 11,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,11929 H,tp 11,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,11935 H,tp 11,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,11995 V,tp 14,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,12025 V,tp 16,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,12053 V,tp 18,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,12057 V,tp 18,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,12067 V,tp 18,,,,,,False,,,,
,(feeds),,,DVB-S2,4600.0,3/4,12075 V,tp 18,,,,,,False,,,,
,,,,DVB-S2,4600.0,3/4,11910 H,tp 11,0.0,,,,,False,,,,
,,,,DVB-S2,29970.0,3/4,12080 H,tp 19,0.0,,,,,False,,,,
,,?-1,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,,,False,,,,
,,,,DVB-S,20000.0,3/4,12151 H,tp 23,0.0,,,,,False,,,,
,,,,DVB-S,20000.0,3/4,12157 H,tp 23,0.0,,,,,False,,,,
,,,,DVB-S,20000.0,3/4,12163 H,tp 23,0.0,,,,,False,,,,
,,,,DVB-S,20000.0,3/4,12175 H,tp 23,0.0,,,,,False,,,,
,,,,DVB-S,20000.0,3/4,12182 V,tp 24,0.0,,,,,False,,,,
,(NBC feeds),,,DVB-S2,4600.0,3/4,11950 H,tp 13,,,,,,False,,,,
,(NBC feeds),,,DVB-S2,4600.0,3/4,11956 H,tp 13,,,,,,False,,,,
,(NBC feeds),,,DVB-S2,4600.0,3/4,11962 H,tp 13,,,,,,False,,,,
,(NBC feeds),,,DVB-S2,4600.0,3/4,11969 H,tp 13,,,,,,False,,,,
,(NBC feeds),,,DVB-S2,4600.0,3/4,12025 H,tp 17,,,,,,False,,,,
,(NBC feeds),,,DVB-S2,4600.0,3/4,12054 H,tp 17,,,,,,False,,,,
65.0,(NBC feeds),,650.0,DVB-S2,30000.0,5/6,12120 H,tp 21,0.0,BISS,,,,False,,,,
66.0,(NBC feeds),,660.0,DVB-S2,30000.0,5/6,12120 H,tp 21,0.0,BISS,,,,False,,,,
67.0,(NBC feeds),,670.0,DVB-S2,30000.0,5/6,12120 H,tp 21,0.0,BISS,,,,False,,,,
,(WFXT-TV feeds),,,DVB-S2,4600.0,3/4,12005 V,tp 16,,,,,,False,,,,
,(WHDH-TV feeds),,,DVB-S2,4600.0,3/4,12010 V,tp 16,,,,,,False,,,,
,(WHDH-TV feeds),,,DVB-S2,4600.0,3/4,12015 V,tp 16,,,,,,False,,,,
,(Vyvx feeds),,,DVB-S2,4600.0,3/4,12030 V,tp 16,,,,,,False,,,,
1.0,DW English,MPEG-4/HD,2001.0,DVB-S2,29970.0,3/4,12080 H,tp 19,0.0,,,DW English,https://www.lyngsat.com/tvchannels/de/DW-English.html,False,,Eng,de,
1.0,DW English,MPEG-4/HD,2001.0,DVB-S2,29970.0,3/4,12080 H,tp 19,0.0,,,DW English,https://www.lyngsat.com/tvchannels/de/DW-English.html,False,,Eng,de,
