SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
,(feeds),,,DVB-S2,5000.0,,3635 H,tp C1H,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3645 H,tp C1H,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3654 H,tp C1H,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3666 H,tp C2H,,,,,,False,,,,
,(feeds),,,DVB-S2,9874.0,3/4,3690 V,tp C2V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3693 H,tp C2H,,,,,,False,,,,
,(feeds),,,DVB-S,3255.0,3/4,3702 V,tp C2V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3707 H,tp C3H,,,,,,False,,,,
,(feeds),,,DVB-S2,9874.0,3/4,3712 V,tp C2V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3735 V,tp C3V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3747 V,tp C3V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3765 H,tp C4H,,,,,,False,,,,
,(feeds),,,DVB-S2,7120.0,3/4,3795 H,tp C5H,,,,,,False,,,,
,(feeds),,,DVB-S2,7000.0,3/4,3805 H,tp C5H,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3814 H,tp C5H,,,,,,False,,,,
,(feeds),,,DVB-S2,29720.0,5/6,3840 H,tp C6H,,,,,,False,,,,
,(feeds),,,DVB-S2,4443.0,3/4,3867 H,tp C7H,,,,,,False,,,,
,(feeds),,,DVB-S2,7120.0,3/4,3876 H,tp C7H,,,,,,False,,,,
,(feeds),,,DVB-S2,7120.0,3/4,3909 H,tp C8H,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3914 V,tp C7V,,,,,,False,,,,
,(feeds),,,DVB-S2,7120.0,2/3,3918 H,tp C8H,,,,,,False,,,,
,(feeds),,,DVB-S2,7120.0,2/3,3925 H,tp C8H,,,,,,False,,,,
,(feeds),,,DVB-S2,9875.0,3/4,3927 V,tp C8V,,,,,,False,,,,
,(feeds),,,DVB-S2,9875.0,3/4,3939 V,tp C8V,,,,,,False,,,,
,(feeds),,,DVB-S2,9875.0,3/4,3953 V,tp C8V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3975 V,tp C9V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3984 V,tp C9V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,3992 V,tp C9V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,4013 H,tp C10H,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,4147 H,tp C14H,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,4148 V,tp C12V,,,,,,False,,,,
,(feeds),,,DVB-S2,7120.0,3/4,4156 V,tp C12V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,4173 H,tp C14H,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,4180 V,tp C12V,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,4185 V,tp C12V,,,,,,False,,,,
,(feeds),,,DVB-S2,4936.0,3/4,4192 V,tp C12V,,,,,,False,,,,
,(feeds),,,DVB-S,2000.0,3/4,12377 V,tp 6,,,,,,False,,,,
,(feeds),,,DVB-S,2000.0,3/4,12381 V,tp 6,,,,,,False,,,,
,(feeds),,,DVB-S,2000.0,3/4,12386 V,tp 6,,,,,,False,,,,
,(feeds),,,DVB-S,2300.0,5/6,12403 H,tp 7,,,,,,False,,,,
,(feeds),,,DVB-S,13300.0,3/4,12494 H,tp 9,,,,,,False,,,,
,(feeds),,,DVB-S,6111.0,3/4,12542 H,tp 11,,,,,,False,,,,
,(feeds),,,DVB-S2,1460.0,3/4,12579 H,tp 13,,,,,,False,,,,
,(feeds),,,DVB-S,5632.0,3/4,12591 H,tp 13,,,,,,False,,,,
,(feeds),,,DVB-S,5632.0,3/4,12602 H,tp 13,,,,,,False,,,,
,(feeds),,,DVB-S,8880.0,3/4,12635 H,tp 15,,,,,,False,,,,
,(feeds),,,DVB-S2,7120.0,3/4,12678 H,tp 15,,,,,,False,,,,
,(feeds),,,DVB-S2,7200.0,3/4,12701 V,tp 16,,,,,,False,,,,
,Macau Satellite TV,,,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,https://www.lyngsat.com/providers/mo/Macau-Satellite-TV.html,Macau Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Satellite-TV.html,True,Macau Satellite TV,,mo,mo
,Macau Satellite TV,,,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,https://www.lyngsat.com/providers/mo/Macau-Satellite-TV.html,Macau Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Satellite-TV.html,True,Macau Satellite TV,,mo,mo
1,Macau Satellite TV,MPEG-2/SD,250.0,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,https://www.lyngsat.com/providers/mo/Macau-Satellite-TV.html,Macau Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Satellite-TV.html,True,Macau Satellite TV,Chi,mo,mo
1,Macau Satellite TV,MPEG-2/SD,250.0,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,https://www.lyngsat.com/providers/mo/Macau-Satellite-TV.html,Macau Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Satellite-TV.html,True,Macau Satellite TV,Chi,mo,mo
2,Macau Satellite TV,MPEG-4/HD,350.0,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,https://www.lyngsat.com/providers/mo/Macau-Satellite-TV.html,Macau Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Satellite-TV.html,True,Macau Satellite TV,Chi,mo,mo
2,Macau Satellite TV,MPEG-4/HD,350.0,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,https://www.lyngsat.com/providers/mo/Macau-Satellite-TV.html,Macau Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Satellite-TV.html,True,Macau Satellite TV,Chi,mo,mo
3,Macau Asia Satellite TV,MPEG-2/SD,652.0,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,,Macau Asia Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Asia-Satellite-TV.html,False,Macau Satellite TV,Chi,mo,
3,Macau Asia Satellite TV,MPEG-2/SD,652.0,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,,Macau Asia Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Asia-Satellite-TV.html,False,Macau Satellite TV,Chi,mo,
4,Macau Asia Satellite TV,MPEG-4/HD,752.0,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,,Macau Asia Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Asia-Satellite-TV.html,False,Macau Satellite TV,Chi,mo,
4,Macau Asia Satellite TV,MPEG-4/HD,752.0,DVB-S2,6666.0,3/4,3726 V,tp C3V,38-40,,,Macau Asia Satellite TV,https://www.lyngsat.com/tvchannels/mo/Macau-Asia-Satellite-TV.html,False,Macau Satellite TV,Chi,mo,
,,,,DVB-S2,3600.0,3/5,3784 H,tp C5H,38-40,,,,,False,Macau Satellite TV,,,
1,TDM Macau Satélite,MPEG-4/HD,33.0,DVB-S2,3600.0,3/5,3784 H,tp C5H,38-40,,,TDM Macau Satélite,https://www.lyngsat.com/tvchannels/mo/TDM-Macau-Satelite.html,False,Macau Satellite TV,,mo,
1,TDM Macau Satélite,MPEG-4/HD,33.0,DVB-S2,3600.0,3/5,3784 H,tp C5H,38-40,,,TDM Macau Satélite,https://www.lyngsat.com/tvchannels/mo/TDM-Macau-Satelite.html,False,Macau Satellite TV,,mo,
2,TDM Ou Mun,MPEG-4/HD,101.0,DVB-S2,3600.0,3/5,3784 H,tp C5H,38-40,BISS,,TDM Ou Mun,https://www.lyngsat.com/tvchannels/mo/TDM-Ou-Mun.html,False,Macau Satellite TV,Yue,mo,
2,TDM Ou Mun,MPEG-4/HD,101.0,DVB-S2,3600.0,3/5,3784 H,tp C5H,38-40,BISS,,TDM Ou Mun,https://www.lyngsat.com/tvchannels/mo/TDM-Ou-Mun.html,False,Macau Satellite TV,Yue,mo,
,(Mathrubhumi News feeds),,,DVB-S2,1200.0,2/3,3794 V,tp C4V,,,,,,False,Macau Satellite TV,,,
,EBU,,,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,https://www.lyngsat.com/providers/ch/EBU.html,,,True,EBU,,,ch
1,(IMG feeds),,401.0,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,,,False,EBU,,,
,(IMG feeds),,,DVB-S2,7200.0,3/4,3895 V,tp C7V,,,,,,False,EBU,,,
2,Premier League TV,HEVC/HD,402.0,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,Director,,Premier League TV,https://www.lyngsat.com/tvchannels/uk/Premier-League-TV.html,False,EBU,Eng,uk,
4,Rai Italia Asia,MPEG-4/SD,404.0,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,Rai Italia Asia,https://www.lyngsat.com/tvchannels/it/Rai-Italia-Asia.html,False,EBU,Ita,it,
5,Vatican Media,MPEG-4/HD,33.0,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,Vatican Media,https://www.lyngsat.com/tvchannels/va/Vatican-Media.html,False,EBU,Ita,va,
5,Vatican Media,MPEG-4/HD,33.0,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,Vatican Media,https://www.lyngsat.com/tvchannels/va/Vatican-Media.html,False,EBU,Ita,va,
6,(EBU feeds),,406.0,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,,,False,EBU,,,
7,(EBU feeds),,407.0,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,,,False,EBU,,,
,(EBU feeds),,,DVB-S2,7200.0,5/6,4166 V,tp C12V,,,,,,False,EBU,,,
76,RTP Internacional Ásia,MPEG-4/SD,2076.0,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,RTP Internacional Ásia,https://www.lyngsat.com/tvchannels/pt/RTP-Internacional-Asia.html,False,EBU,Por,pt,
85,RDP Antena 1,,,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,RDP Antena 1,https://www.lyngsat.com/radiochannels/pt/RDP-Antena-1.html,False,EBU,Por,pt,
85,RDP Antena 1,,,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,RDP Antena 1,https://www.lyngsat.com/radiochannels/pt/RDP-Antena-1.html,False,EBU,Por,pt,
86,RDP Internacional Timor,,,DVB-S2,30000.0,3/4,3860 V,tp C6V,38-40,,,RDP Internacional Timor,https://www.lyngsat.com/radiochannels/pt/RDP-Internacional-Timor.html,False,EBU,Por,pt,
,(SES feeds),,,DVB-S2,7500.0,5/6,3895 H,tp C7H,,,,,,False,EBU,,,
60,(SES feeds),,2060.0,DVB-S2,30000.0,5/6,3960 H,tp C9H,38-40,,,,,False,EBU,,,
,AsiaSat,4-4,,DVB-S2,30000.0,5/6,3960 H,tp C9H,38-40,,https://www.lyngsat.com/providers/hk/AsiaSat.html,,,True,AsiaSat,,,hk
,AsiaSat,4-4,,DVB-S2,30000.0,5/6,3960 H,tp C9H,38-40,,https://www.lyngsat.com/providers/hk/AsiaSat.html,,,True,AsiaSat,,,hk
,AsiaSat,65535-3,,DVB-S2,29720.0,5/6,4040 H,tp C11H,38-40,Irdeto,https://www.lyngsat.com/providers/hk/AsiaSat.html,,,True,AsiaSat,,,hk
,AsiaSat,65535-3,,DVB-S2,29720.0,5/6,4040 H,tp C11H,38-40,Irdeto,https://www.lyngsat.com/providers/hk/AsiaSat.html,,,True,AsiaSat,,,hk
2,The Word Network,MPEG-2/SD,2002.0,DVB-S2,30000.0,5/6,3960 H,tp C9H,38-40,,,The Word Network,https://www.lyngsat.com/tvchannels/us/The-Word-Network.html,False,AsiaSat,Eng,us,
5,Cubavisión Internacional,MPEG-4/HD,105.0,DVB-S2,30000.0,5/6,3960 H,tp C9H,38-40,,,Cubavisión Internacional,https://www.lyngsat.com/tvchannels/cu/Cubavision-Internacional.html,False,AsiaSat,Spa,cu,
5,Cubavisión Internacional,MPEG-4/HD,105.0,DVB-S2,30000.0,5/6,3960 H,tp C9H,38-40,,,Cubavisión Internacional,https://www.lyngsat.com/tvchannels/cu/Cubavision-Internacional.html,False,AsiaSat,Spa,cu,
