SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
,STV,4371-3,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
,STV,4371-3,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
,STV,4371-3,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
,STV,4371-11,,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
,STV,4371-11,,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
,STV,4371-11,,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
,STV,4371-3,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
,STV,4371-3,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
,STV,4371-3,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,https://www.lyngsat.com/providers/ru/STV.html,,,,,True,STV,,,ru
2.0,Mult,MPEG-4/HD,1001.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
2.0,Mult,MPEG-4/HD,1001.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
2.0,Mult,MPEG-4/HD,1001.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
16.0,Mult,MPEG-2/SD,216.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
16.0,Mult,MPEG-2/SD,216.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
16.0,Mult,MPEG-2/SD,216.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
2.0,Mult,MPEG-4/HD,1001.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
2.0,Mult,MPEG-4/HD,1001.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
2.0,Mult,MPEG-4/HD,1001.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mult,https://www.lyngsat.com/tvchannels/ru/Mult.html,,,False,STV,Rus,ru,
3.0,Moya Planeta,MPEG-4/HD,1012.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
3.0,Moya Planeta,MPEG-4/HD,1012.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
3.0,Moya Planeta,MPEG-4/HD,1012.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
1.0,Moya Planeta,MPEG-2/SD,201.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
1.0,Moya Planeta,MPEG-2/SD,201.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
1.0,Moya Planeta,MPEG-2/SD,201.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
3.0,Moya Planeta,MPEG-4/HD,1012.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
3.0,Moya Planeta,MPEG-4/HD,1012.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
3.0,Moya Planeta,MPEG-4/HD,1012.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Moya Planeta,https://www.lyngsat.com/tvchannels/ru/Moya-Planeta.html,,,False,STV,Rus,ru,
4.0,Russkiy Roman,MPEG-4/HD,1013.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
4.0,Russkiy Roman,MPEG-4/HD,1013.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
4.0,Russkiy Roman,MPEG-4/HD,1013.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
3.0,Russkiy Roman,MPEG-2/SD,203.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
3.0,Russkiy Roman,MPEG-2/SD,203.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
3.0,Russkiy Roman,MPEG-2/SD,203.0,DVB-S,44922.0,5/6,11665 V,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
4.0,Russkiy Roman,MPEG-4/HD,1013.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
4.0,Russkiy Roman,MPEG-4/HD,1013.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
4.0,Russkiy Roman,MPEG-4/HD,1013.0,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Russkiy Roman,https://www.lyngsat.com/tvchannels/ru/Russkiy-Roman.html,,,False,STV,Rus,ru,
5.0,Telekanal FAN,MPEG-4/SD,1014.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV,Rus,ru,
5.0,Telekanal FAN,MPEG-4/SD,1014.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV,Rus,ru,
5.0,Telekanal FAN,MPEG-4/SD,1014.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV,Rus,ru,
5.0,Telekanal FAN,MPEG-4/SD,1014.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV,Rus,ru,
14.0,Telekanal FAN,MPEG-4/HD,1023.0,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Telekanal FAN,https://www.lyngsat.com/tvchannels/ru/Telekanal-FAN.html,,,False,STV,Rus,ru,
