Provider/Channel,Sattelite_Name,freq_alt,Languages
AFN Prime Pacific,NSS-9,4055 L,Eng
AFN News,NSS-9,4055 L,Eng
AFN Sports,NSS-9,4055 L,Eng
AFN The Eagle Japan,NSS-9,4055 L,Eng
AFN The Voice,NSS-9,4055 L,Eng
AFN Music Service 1,NSS-9,4055 L,Eng
AFN Music Service 2,NSS-9,4055 L,Eng
KGTF (PBS - Agana),NSS-9,4152 R,Eng
BYU TV Global,NSS-9,4192 R,Eng
BYU TV Global,NSS-9,4192 R,Chi
AFN Prime Atlantic,Intelsat-18,3753 R,Eng
AFN News,Intelsat-18,3753 R,Eng
AFN Sports,Intelsat-18,3753 R,Eng
AFN Prime Pacific,Intelsat-18,3753 R,Eng
AFN Spectrum,Intelsat-18,3753 R,Eng
AFN Sports 2,Intelsat-18,3753 R,Eng
AFN Family,Intelsat-18,3753 R,Eng
AFN Movie,Intelsat-18,3753 R,Eng
AFN Guide,Intelsat-18,3753 R,Eng
AFN The Eagle Japan,Intelsat-18,3753 R,Eng
AFN The Voice,Intelsat-18,3753 R,Eng
AFN PowerTalk,Intelsat-18,3753 R,Eng
AFN Clutch,Intelsat-18,3753 R,Eng
AFN Fans,Intelsat-18,3753 R,Eng
AFN The Blend,Intelsat-18,3753 R,Eng
AFN Legacy,Intelsat-18,3753 R,Eng
AFN's Joe Radio,Intelsat-18,3753 R,Eng
AFN Gravity,Intelsat-18,3753 R,Eng
AFN Country,Intelsat-18,3753 R,Eng
NPR AFN,Intelsat-18,3753 R,Eng
AFN Seasonal,Intelsat-18,3753 R,Eng
AFN Contingency,Intelsat-18,3753 R,Eng
AFN Freedom Rock,Intelsat-18,3753 R,Eng
AFN The Eagle Iwakuni,Intelsat-18,3753 R,Eng
AFN The Eagle Daegu,Intelsat-18,3753 R,Eng
AFN The Eagle Humphreys,Intelsat-18,3753 R,Eng
AFN The Eagle Kunsan,Intelsat-18,3753 R,Eng
AFN The Eagle Misawa,Intelsat-18,3753 R,Eng
AFN The Eagle Okinawa,Intelsat-18,3753 R,Eng
AFN The Eagle Tokyo,Intelsat-18,3753 R,Eng
AFN The Eagle Sasebo,Intelsat-18,3753 R,Eng
ABC Australia Pacific,Intelsat-18,4070 R,Eng
Radio Australia English for the Pacific,Intelsat-18,4070 R,Eng
Radio Australia English for Asia,Intelsat-18,4070 R,Eng
MTN Special Events,Intelsat-18,4095 R,Eng
MTN Special Events,Intelsat-18,4095 R,Eng
MSNBC International,Intelsat-18,4095 R,Eng
Fox News Channel,Intelsat-18,4095 R,Eng
CNBC US,Intelsat-18,4095 R,Eng
Sky News International,Intelsat-18,4095 R,Eng
BBC News,Intelsat-18,4095 R,Eng
Prime Journey,Intelsat-18,4095 R,Eng
